fips_code,community_name,tank_farm_id,uscg_id,aea_id,entity_name,number_of_tanks,total_capacity,gasoline_capacity,diesel_capacity,av_gas_capacity,jet_fuel_capacity,other_fuel_capacity,barge_delivery,plane_delivery,road_delivery,inspected_by_uscg,fuel_supplier,recommendations_by_aea,distance_to_barge_mooring,tank_farm_evaluation_id,source,report,start_year,end_year,latitude,longitude
0281320,Upper Kalskag,,,252-BF-02,Kalskag Tank Farm,6,140000,59000,81000,,,,t,f,f,f,,,,,DEC,,,,61.526123046875,-160.3485107421875
0281320,Upper Kalskag,,,252-BF-01,Kalskag Tank Farm,6,88000,37000,51000,,,,t,f,f,f,,,,,DEC,,,,61.52630615234375,-160.348388671875
0281320,Upper Kalskag,337,,,Ken Morgan,,36800,,,,,,t,f,f,f,,,,557,AEA,,,,61.5386962890625,-160.31707763671875
0281320,Upper Kalskag,108,,115-BF-07,Kuspuk School District,,142100,,,,,,t,f,f,t,,,,137,AEA,,,,61.5731201171875,-159.2490234375
0281320,Upper Kalskag,,,,Kuspuk School District,6,49000,,49000,,,,t,f,f,f,,,,,DEC,,,,61.5386962890625,-160.33837890625
0281320,Upper Kalskag,,ANC-K-007,,Morgan's Fuel Service,,,,,,,,,,,t,,,,,,,,,61.538330078125,-160.31561279296875
0281320,Upper Kalskag,,,,Old Upper Elementray School Tank Farm,2,16000,8000,8000,,,,t,f,f,,Crowley/Vitus,,,,AEA,2024 Assessment,2023,2024,61.5376632944781,-160.312513242545
0281920,Utqiagvik,,,,AT&T,1,2000,,2000,,,,f,f,t,f,,,,,DEC,,,,71.27130126953125,-156.77191162109375
0281920,Utqiagvik,,,,Barrow Utilities & Electric Cooperative,3,14500,,14500,,,,f,f,t,f,,,,,DEC,,,,71.29168701171875,-156.780517578125
0281920,Utqiagvik,,,,DOT&PF Barrow APT,1,2000,,2000,,,,f,f,t,f,,,,,DEC,,,,71.2833251953125,-156.7760009765625
0281920,Utqiagvik,,,,North Slope Borough School District,1,4000,,4000,,,,f,f,t,f,,,,,DEC,,,,71.289306640625,-156.768310546875
0281920,Utqiagvik,,,,Ukpeagvik Inupiat Corporation,3,5200,,5200,,,,f,f,t,f,,,,,DEC,,,,71.32928466796875,-156.66571044921875
0282200,Valdez,,,,AT&T,1,1000,,1000,,,,f,f,t,f,,,,,DEC,,,,61.1317138671875,-146.33758544921875
0282200,Valdez,,,451-BF-07,AT&T,4,5000,,5000,,,,f,t,f,f,,,,,DEC,,,,61.06451416015625,-145.8291015625
0282200,Valdez,,,451-BF-06,AT&T,4,5000,,5000,,,,f,t,f,f,,,,,DEC,,,,61.20452880859375,-145.63031005859375
0282200,Valdez,,,451-BF-01,AT&T,4,5000,,5000,,,,f,t,f,f,,,,,DEC,,,,61.3441162109375,-145.268310546875
0282200,Valdez,,,451-BF-08,Alaska Army National Guard,1,1500,,1500,,,,f,f,t,f,,,,,DEC,,,,61.1279296875,-146.24749755859375
0282200,Valdez,,,451-BF-09,City of Valdez,9,43000,,43000,,,,f,f,t,f,,,,,DEC,,,,61.13067626953125,-146.3668212890625
0282200,Valdez,,,451-BF-04,Copper Valley Electric Association,1,1000,,,,1000,,f,f,t,f,,,,,DEC,,,,61.08428955078125,-146.2493896484375
0282200,Valdez,,,452-BF-01,Copper Valley Electric Association,1,1000,,1000,,,,f,f,t,f,,,,,DEC,,,,61.08331298828125,-146.30291748046875
0282200,Valdez,,,452-BF-02,Copper Valley Electric Association,3,41000,,41000,,,,f,f,t,f,,,,,DEC,,,,61.13067626953125,-146.36468505859375
