fips_code,name,grid_id,net_generation_mwh,fuel_type,year,month
0201970,Ambler,35,141.249,DFO,2021,12
0201970,Ambler,35,78.896,DFO,2021,7
0201970,Ambler,35,146.649,DFO,2021,2
0201970,Ambler,35,125.348,DFO,2021,1
0201970,Ambler,35,135.662,DFO,2021,11
0201970,Ambler,35,97.042,DFO,2021,10
0201970,Ambler,35,99.498,DFO,2021,9
0202080,Anaktuvuk Pass,160,421,DFO,2021,12
0202080,Anaktuvuk Pass,160,370,DFO,2021,11
0202080,Anaktuvuk Pass,160,339,DFO,2021,10
0202080,Anaktuvuk Pass,160,300,DFO,2021,9
0202080,Anaktuvuk Pass,160,297,DFO,2021,8
0202080,Anaktuvuk Pass,160,247,DFO,2021,6
0202080,Anaktuvuk Pass,160,394,DFO,2021,2
0202080,Anaktuvuk Pass,160,410,DFO,2021,1
0202080,Anaktuvuk Pass,160,425,DFO,2021,3
0202080,Anaktuvuk Pass,160,377,DFO,2021,4
0202080,Anaktuvuk Pass,160,348,DFO,2021,5
0202080,Anaktuvuk Pass,160,332,DFO,2021,7
0203110,Anchor Point,215,31286.87,WAT,2021,8
0203110,Anchor Point,215,25662.131,WAT,2021,9
0203110,Anchor Point,215,26333.634,WAT,2021,10
0203110,Anchor Point,215,30863.544,WAT,2021,11
0203110,Anchor Point,215,39657.855,WAT,2021,12
0203110,Anchor Point,215,32.294,DFO,2021,12
0203110,Anchor Point,215,29.051,DFO,2021,11
0203110,Anchor Point,215,37.207,DFO,2021,10
0203110,Anchor Point,215,37.449,DFO,2021,9
0203110,Anchor Point,215,28.914,DFO,2021,8
0203110,Anchor Point,215,20.049,DFO,2021,7
0203110,Anchor Point,215,20.516,DFO,2021,6
0203110,Anchor Point,215,15.284,DFO,2021,5
0203110,Anchor Point,215,29.512,DFO,2021,4
0203110,Anchor Point,215,30.701,DFO,2021,3
0203110,Anchor Point,215,28.387,DFO,2021,2
0203110,Anchor Point,215,25.636,DFO,2021,1
0203110,Anchor Point,215,21.594,DFO,2021,12
0203110,Anchor Point,215,19.425,DFO,2021,11
0203110,Anchor Point,215,24.878,DFO,2021,10
0203110,Anchor Point,215,25.041,DFO,2021,9
0203110,Anchor Point,215,19.333,DFO,2021,8
0203110,Anchor Point,215,13.406,DFO,2021,7
0203110,Anchor Point,215,13.718,DFO,2021,6
0203110,Anchor Point,215,10.219,DFO,2021,5
0203110,Anchor Point,215,19.733,DFO,2021,4
0203110,Anchor Point,215,20.528,DFO,2021,3
0203110,Anchor Point,215,18.981,DFO,2021,2
0203110,Anchor Point,215,17.144,DFO,2021,1
0203110,Anchor Point,215,3690.163,WAT,2021,1
0203110,Anchor Point,215,3070.485,WAT,2021,2
0203110,Anchor Point,215,2944.753,WAT,2021,3
0203110,Anchor Point,215,2597.494,WAT,2021,4
0203110,Anchor Point,215,3218.043,WAT,2021,5
0203110,Anchor Point,215,3464.849,WAT,2021,6
0203110,Anchor Point,215,3085.017,WAT,2021,7
0203110,Anchor Point,215,2910.985,WAT,2021,8
0203110,Anchor Point,215,2387.65,WAT,2021,9
0203110,Anchor Point,215,2450.127,WAT,2021,10
0203110,Anchor Point,215,2871.598,WAT,2021,11
0203110,Anchor Point,215,3689.836,WAT,2021,12
0203110,Anchor Point,215,-9.262,DFO,2021,1
0203110,Anchor Point,215,-10.253,DFO,2021,2
0203110,Anchor Point,215,-11.089,DFO,2021,3
0203110,Anchor Point,215,-10.659,DFO,2021,4
0203110,Anchor Point,215,-5.52,DFO,2021,5
0203110,Anchor Point,215,-7.41,DFO,2021,6
0203110,Anchor Point,215,-7.242,DFO,2021,7
0203110,Anchor Point,215,-10.443,DFO,2021,8
0203110,Anchor Point,215,-13.526,DFO,2021,9
0203110,Anchor Point,215,-13.439,DFO,2021,10
0203110,Anchor Point,215,-10.493,DFO,2021,11
0203110,Anchor Point,215,-11.664,DFO,2021,12
0203110,Anchor Point,215,316.501,WND,2021,1
0203110,Anchor Point,215,240.939,WND,2021,2
0203110,Anchor Point,215,300.268,WND,2021,3
0203110,Anchor Point,215,238.472,WND,2021,4
0203110,Anchor Point,215,281.665,WND,2021,5
0203110,Anchor Point,215,291.038,WND,2021,6
0203110,Anchor Point,215,342.835,WND,2021,7
0203110,Anchor Point,215,347.35,WND,2021,8
0203110,Anchor Point,215,355.896,WND,2021,9
0203110,Anchor Point,215,359.461,WND,2021,10
0203110,Anchor Point,215,204.25,WND,2021,11
0203110,Anchor Point,215,375.325,WND,2021,12
0203110,Anchor Point,215,22.346,DFO,2021,1
0203110,Anchor Point,215,6923,SUB,2021,1
0203110,Anchor Point,215,24.744,DFO,2021,2
0203110,Anchor Point,215,6425,SUB,2021,2
0203110,Anchor Point,215,26.76,DFO,2021,3
0203110,Anchor Point,215,6629,SUB,2021,3
0203110,Anchor Point,215,25.723,DFO,2021,4
0203110,Anchor Point,215,6069,SUB,2021,4
0203110,Anchor Point,215,13.322,DFO,2021,5
0203110,Anchor Point,215,5571,SUB,2021,5
0203110,Anchor Point,215,17.883,DFO,2021,6
0203110,Anchor Point,215,5359,SUB,2021,6
0203110,Anchor Point,215,17.476,DFO,2021,7
0203110,Anchor Point,215,5413,SUB,2021,7
0203110,Anchor Point,215,25.202,DFO,2021,8
0203110,Anchor Point,215,5632,SUB,2021,8
0203110,Anchor Point,215,32.642,DFO,2021,9
0203110,Anchor Point,215,5607,SUB,2021,9
0203110,Anchor Point,215,32.431,DFO,2021,10
0203110,Anchor Point,215,5992,SUB,2021,10
0203110,Anchor Point,215,25.322,DFO,2021,11
0203110,Anchor Point,215,6903,SUB,2021,11
0203110,Anchor Point,215,28.149,DFO,2021,12
0203110,Anchor Point,215,7137,SUB,2021,12
0203110,Anchor Point,215,55515.663,NG,2021,1
0203110,Anchor Point,215,47701.531,NG,2021,2
0203110,Anchor Point,215,46811.315,NG,2021,3
0203110,Anchor Point,215,46147.179,NG,2021,4
0203110,Anchor Point,215,50321.714,NG,2021,5
0203110,Anchor Point,215,63348.338,NG,2021,6
0203110,Anchor Point,215,71975.338,NG,2021,7
0203110,Anchor Point,215,72975.002,NG,2021,8
0203110,Anchor Point,215,59837.292,NG,2021,9
0203110,Anchor Point,215,56434.554,NG,2021,10
0203110,Anchor Point,215,52582.325,NG,2021,11
0203110,Anchor Point,215,54901.749,NG,2021,12
0203110,Anchor Point,215,14199.736,WAT,2021,1
0203110,Anchor Point,215,11815.219,WAT,2021,2
0203110,Anchor Point,215,11331.402,WAT,2021,3
0203110,Anchor Point,215,9995.152,WAT,2021,4
0203110,Anchor Point,215,12383.02,WAT,2021,5
0203110,Anchor Point,215,13332.729,WAT,2021,6
0203110,Anchor Point,215,11871.139,WAT,2021,7
0203110,Anchor Point,215,11201.464,WAT,2021,8
0203110,Anchor Point,215,9187.67,WAT,2021,9
0203110,Anchor Point,215,9428.085,WAT,2021,10
0203110,Anchor Point,215,11049.903,WAT,2021,11
0203110,Anchor Point,215,14198.481,WAT,2021,12
0203110,Anchor Point,215,4906.706,WND,2021,1
0203110,Anchor Point,215,3735.283,WND,2021,2
0203110,Anchor Point,215,4655.059,WND,2021,3
0203110,Anchor Point,215,3697.03,WND,2021,4
0203110,Anchor Point,215,4366.659,WND,2021,5
0203110,Anchor Point,215,4511.96,WND,2021,6
0203110,Anchor Point,215,5314.975,WND,2021,7
0203110,Anchor Point,215,5384.972,WND,2021,8
0203110,Anchor Point,215,5517.456,WND,2021,9
0203110,Anchor Point,215,5572.732,WND,2021,10
0203110,Anchor Point,215,3166.494,WND,2021,11
0203110,Anchor Point,215,5818.674,WND,2021,12
0203110,Anchor Point,215,-8.955,DFO,2021,1
0203110,Anchor Point,215,699.534,DFO,2021,1
0203110,Anchor Point,215,-9.914,DFO,2021,2
0203110,Anchor Point,215,774.59,DFO,2021,2
