fips_code,name,grid_id,net_generation_mwh,fuel_type,year
0209657,Buffalo Soapstone,215,386453,SUB,2021
0209657,Buffalo Soapstone,215,567393,WAT,2021
0209657,Buffalo Soapstone,215,2984081,NG,2021
0209710,Butte,215,-3433,MWH,2021
0209710,Butte,215,672,JF,2021
0209710,Butte,215,38071,LFG,2021
0209710,Butte,215,92790,WC,2021
0209710,Butte,215,102061,WND,2021
0209710,Butte,215,106468,DFO,2021
0209710,Butte,215,273652,LIG,2021
0209710,Butte,215,375532,WO,2021
0209710,Butte,215,386453,SUB,2021
0209710,Butte,215,567393,WAT,2021
0209710,Butte,215,2984081,NG,2021
0210150,Cantwell,215,-3433,MWH,2021
0210150,Cantwell,215,672,JF,2021
0210150,Cantwell,215,38071,LFG,2021
0210150,Cantwell,215,92790,WC,2021
0210150,Cantwell,215,102061,WND,2021
0210150,Cantwell,215,106468,DFO,2021
0210150,Cantwell,215,273652,LIG,2021
0210150,Cantwell,215,375532,WO,2021
0210150,Cantwell,215,386453,SUB,2021
0210150,Cantwell,215,567393,WAT,2021
0210150,Cantwell,215,2984081,NG,2021
0211690,Central,116,460,DFO,2021
0211800,Chalkyitsik,100,51,DFO,2021
0212350,Chase,215,-3433,MWH,2021
0212350,Chase,215,672,JF,2021
0212350,Chase,215,38071,LFG,2021
0212350,Chase,215,92790,WC,2021
0212350,Chase,215,102061,WND,2021
0212350,Chase,215,106468,DFO,2021
0212350,Chase,215,273652,LIG,2021
0212350,Chase,215,375532,WO,2021
0212350,Chase,215,386453,SUB,2021
0212350,Chase,215,567393,WAT,2021
0212350,Chase,215,2984081,NG,2021
0212680,Chefornak,154,1184,DFO,2021
0212920,Chena Ridge,215,-3433,MWH,2021
0212920,Chena Ridge,215,672,JF,2021
0212920,Chena Ridge,215,38071,LFG,2021
0212920,Chena Ridge,215,92790,WC,2021
0212920,Chena Ridge,215,102061,WND,2021
0212920,Chena Ridge,215,106468,DFO,2021
0212920,Chena Ridge,215,273652,LIG,2021
0212920,Chena Ridge,215,375532,WO,2021
0212920,Chena Ridge,215,386453,SUB,2021
0212920,Chena Ridge,215,567393,WAT,2021
0212920,Chena Ridge,215,2984081,NG,2021
0212970,Chenega,101,219,DFO,2021
0213230,Chevak,40,843,WND,2021
0213230,Chevak,40,1795,DFO,2021
0213340,Chickaloon,215,-3433,MWH,2021
0213340,Chickaloon,215,672,JF,2021
0213340,Chickaloon,215,38071,LFG,2021
0213340,Chickaloon,215,92790,WC,2021
0213340,Chickaloon,215,102061,WND,2021
0213340,Chickaloon,215,106468,DFO,2021
0213340,Chickaloon,215,273652,LIG,2021
0213340,Chickaloon,215,375532,WO,2021
0213340,Chickaloon,215,386453,SUB,2021
0213340,Chickaloon,215,567393,WAT,2021
0213340,Chickaloon,215,2984081,NG,2021
0213450,Chicken,,,,
0213550,Chignik,104,666,DFO,2021
0213670,Chignik Lagoon,102,18,WAT,2021
0213670,Chignik Lagoon,102,514,DFO,2021
0213780,Chignik Lake,103,190,DFO,2021
0213860,Chiniak,223,-537,MWH,2021
0213860,Chiniak,223,4,DFO,2021
0213860,Chiniak,223,25238,WND,2021
0213860,Chiniak,223,132333,WAT,2021
0213890,Chisana,,,,
0214000,Chistochina,26,1424,DFO,2021
0214110,Chitina,105,431,DFO,2021
0214330,Chuathbaluk,144,272,DFO,2021
0214880,Circle,106,422,DFO,2021
0215320,Clam Gulch,215,-3433,MWH,2021
0215320,Clam Gulch,215,672,JF,2021
0215320,Clam Gulch,215,38071,LFG,2021
0215320,Clam Gulch,215,92790,WC,2021
0215320,Clam Gulch,215,102061,WND,2021
0215320,Clam Gulch,215,106468,DFO,2021
0215320,Clam Gulch,215,273652,LIG,2021
0215320,Clam Gulch,215,375532,WO,2021
0215320,Clam Gulch,215,386453,SUB,2021
0215320,Clam Gulch,215,567393,WAT,2021
0215320,Clam Gulch,215,2984081,NG,2021
0215430,Clark's Point,107,414,DFO,2021
0216360,Coffman Cove,23,1652,DFO,2021
0216360,Coffman Cove,23,30596,WAT,2021
0216420,Cohoe,215,-3433,MWH,2021
0216420,Cohoe,215,672,JF,2021
0216420,Cohoe,215,38071,LFG,2021
0216420,Cohoe,215,92790,WC,2021
0216420,Cohoe,215,102061,WND,2021
0216420,Cohoe,215,106468,DFO,2021
0216420,Cohoe,215,273652,LIG,2021
0216420,Cohoe,215,375532,WO,2021
0216420,Cohoe,215,386453,SUB,2021
0216420,Cohoe,215,567393,WAT,2021
0216420,Cohoe,215,2984081,NG,2021
0216530,Cold Bay,114,2425,DFO,2021
0216630,Coldfoot,,,,
0216750,College,215,-3433,MWH,2021
0216750,College,215,672,JF,2021
0216750,College,215,38071,LFG,2021
0216750,College,215,92790,WC,2021
0216750,College,215,102061,WND,2021
0216750,College,215,106468,DFO,2021
0216750,College,215,273652,LIG,2021
0216750,College,215,375532,WO,2021
0216750,College,215,386453,SUB,2021
0216750,College,215,567393,WAT,2021
0216750,College,215,2984081,NG,2021
0217190,Cooper Landing,215,-3433,MWH,2021
0217190,Cooper Landing,215,672,JF,2021
0217190,Cooper Landing,215,38071,LFG,2021
0217190,Cooper Landing,215,92790,WC,2021
0217190,Cooper Landing,215,102061,WND,2021
0217190,Cooper Landing,215,106468,DFO,2021
0217190,Cooper Landing,215,273652,LIG,2021
0217190,Cooper Landing,215,375532,WO,2021
0217190,Cooper Landing,215,386453,SUB,2021
0217190,Cooper Landing,215,567393,WAT,2021
0217190,Cooper Landing,215,2984081,NG,2021
0217300,Copper Center,216,12132,DFO,2021
0217300,Copper Center,216,25547,WO,2021
0217300,Copper Center,216,58733,WAT,2021
0217410,Cordova,14,-85,MWH,2021
0217410,Cordova,14,16457,DFO,2021
0217410,Cordova,14,37759,WAT,2021
0217670,Covenant Life,32,2873,DFO,2021
0217670,Covenant Life,32,24042,WAT,2021
0217740,Craig,23,1652,DFO,2021
0217740,Craig,23,30596,WAT,2021
0217850,Crooked Creek,145,291,DFO,2021
0217960,Crown Point,215,-3433,MWH,2021
0217960,Crown Point,215,672,JF,2021
0217960,Crown Point,215,38071,LFG,2021
0217960,Crown Point,215,92790,WC,2021
0217960,Crown Point,215,102061,WND,2021
0217960,Crown Point,215,106468,DFO,2021
0217960,Crown Point,215,273652,LIG,2021
0217960,Crown Point,215,375532,WO,2021
0217960,Crown Point,215,386453,SUB,2021
0217960,Crown Point,215,567393,WAT,2021
0217960,Crown Point,215,2984081,NG,2021
0218510,Deering,130,43,SUN,2021
0218510,Deering,130,61,WND,2021
0218510,Deering,130,679,DFO,2021
0218620,Delta Junction,215,-3433,MWH,2021
0218620,Delta Junction,215,672,JF,2021
0218620,Delta Junction,215,38071,LFG,2021
0218620,Delta Junction,215,92790,WC,2021
0218620,Delta Junction,215,102061,WND,2021
0218620,Delta Junction,215,106468,DFO,2021
0218620,Delta Junction,215,273652,LIG,2021
0218620,Delta Junction,215,375532,WO,2021
0218620,Delta Junction,215,386453,SUB,2021
0218620,Delta Junction,215,567393,WAT,2021
0218620,Delta Junction,215,2984081,NG,2021
0218675,Deltana,215,-3433,MWH,2021
0218675,Deltana,215,672,JF,2021
0218675,Deltana,215,38071,LFG,2021
0218675,Deltana,215,92790,WC,2021
0218675,Deltana,215,102061,WND,2021
0218675,Deltana,215,106468,DFO,2021
0218675,Deltana,215,273652,LIG,2021
0218675,Deltana,215,375532,WO,2021
0218675,Deltana,215,386453,SUB,2021
0218675,Deltana,215,567393,WAT,2021
0218675,Deltana,215,2984081,NG,2021
0218805,Denali Park,215,-3433,MWH,2021
0218805,Denali Park,215,672,JF,2021
0218805,Denali Park,215,38071,LFG,2021
0218805,Denali Park,215,92790,WC,2021
0218805,Denali Park,215,102061,WND,2021
0218805,Denali Park,215,106468,DFO,2021
0218805,Denali Park,215,273652,LIG,2021
0218805,Denali Park,215,375532,WO,2021
0218805,Denali Park,215,386453,SUB,2021
0218805,Denali Park,215,567393,WAT,2021
0218805,Denali Park,215,2984081,NG,2021
0218925,Diamond Ridge,215,-3433,MWH,2021
0218925,Diamond Ridge,215,672,JF,2021
0218925,Diamond Ridge,215,38071,LFG,2021
0218925,Diamond Ridge,215,92790,WC,2021
0218925,Diamond Ridge,215,102061,WND,2021
0218925,Diamond Ridge,215,106468,DFO,2021
0218925,Diamond Ridge,215,273652,LIG,2021
0218925,Diamond Ridge,215,375532,WO,2021
0218925,Diamond Ridge,215,386453,SUB,2021
0218925,Diamond Ridge,215,567393,WAT,2021
0218925,Diamond Ridge,215,2984081,NG,2021
0218950,Dillingham,169,19100,DFO,2021
0219060,Diomede,110,399,DFO,2021
0219720,Dot Lake,15,10384,DFO,2021
0219750,Dot Lake Village,15,10384,DFO,2021
0220020,Dry Creek,,,,
0220380,Eagle,9,11,SUN,2021
0220380,Eagle,9,866,DFO,2021
0220600,Eagle Village,9,11,SUN,2021
0220600,Eagle Village,9,866,DFO,2021
0220716,Eareckson Station,,,,
0220970,Edna Bay,,,,
0221040,Eek,41,1221,DFO,2021
0221150,Egegik,111,648,DFO,2021
0221370,Eielson AFB,215,-3433,MWH,2021
0221370,Eielson AFB,215,672,JF,2021
0221370,Eielson AFB,215,38071,LFG,2021
0221370,Eielson AFB,215,92790,WC,2021
0221370,Eielson AFB,215,102061,WND,2021
0221370,Eielson AFB,215,106468,DFO,2021
0221370,Eielson AFB,215,273652,LIG,2021
0221370,Eielson AFB,215,375532,WO,2021
0221370,Eielson AFB,215,386453,SUB,2021
0221370,Eielson AFB,215,567393,WAT,2021
0221370,Eielson AFB,215,2984081,NG,2021
0221810,Ekwok,65,1922,DFO,2021
0222140,Elfin Cove,112,375,DFO,2021
0222250,Elim,43,1371,DFO,2021
0222910,Emmonak,45,563,WND,2021
0222910,Emmonak,45,5356,DFO,2021
0223460,Ester,215,-3433,MWH,2021
0223460,Ester,215,672,JF,2021
0223460,Ester,215,38071,LFG,2021
0223460,Ester,215,92790,WC,2021
0223460,Ester,215,102061,WND,2021
0223460,Ester,215,106468,DFO,2021
0223460,Ester,215,273652,LIG,2021
0223460,Ester,215,375532,WO,2021
0223460,Ester,215,386453,SUB,2021
0223460,Ester,215,567393,WAT,2021
0223460,Ester,215,2984081,NG,2021
0223720,Eureka Roadhouse,,,,
0223790,Evansville,7,518,DFO,2021
0223900,Excursion Inlet,,,,
0224230,Fairbanks,215,-3433,MWH,2021
0224230,Fairbanks,215,672,JF,2021
0224230,Fairbanks,215,38071,LFG,2021
0224230,Fairbanks,215,92790,WC,2021
0224230,Fairbanks,215,102061,WND,2021
0224230,Fairbanks,215,106468,DFO,2021
0224230,Fairbanks,215,273652,LIG,2021
0224230,Fairbanks,215,375532,WO,2021
0224230,Fairbanks,215,386453,SUB,2021
0224230,Fairbanks,215,567393,WAT,2021
0224230,Fairbanks,215,2984081,NG,2021
0224660,False Pass,113,661,DFO,2021
0225000,Farm Loop,215,-3433,MWH,2021
0225000,Farm Loop,215,672,JF,2021
0225000,Farm Loop,215,38071,LFG,2021
0225000,Farm Loop,215,92790,WC,2021
0225000,Farm Loop,215,102061,WND,2021
0225000,Farm Loop,215,106468,DFO,2021
0225000,Farm Loop,215,273652,LIG,2021
0225000,Farm Loop,215,375532,WO,2021
0225000,Farm Loop,215,386453,SUB,2021
0225000,Farm Loop,215,567393,WAT,2021
0225000,Farm Loop,215,2984081,NG,2021
0224980,Farmers Loop,215,-3433,MWH,2021
0224980,Farmers Loop,215,672,JF,2021
0224980,Farmers Loop,215,38071,LFG,2021
0224980,Farmers Loop,215,92790,WC,2021
0224980,Farmers Loop,215,102061,WND,2021
0224980,Farmers Loop,215,106468,DFO,2021
0224980,Farmers Loop,215,273652,LIG,2021
