fips_code,name,grid_id,grid_name,capacity_mw,fuel_type_code,fuel_type_name,year
0205585,Bear Creek,215,Railbelt Grid,89.5,MWH,Electricity used for Energy Storage,2021
0205585,Bear Creek,215,Railbelt Grid,90.0,LIG,Lignite Coal,2021
0205585,Bear Creek,215,Railbelt Grid,11.5,LFG,Landfill Gas,2021
0205585,Bear Creek,215,Railbelt Grid,231.9,DFO,Distillate Fuel Oil,2021
0205750,Beaver,97,Beaver Grid,0.3,DFO,Distillate Fuel Oil,2021
0206245,Beluga,215,Railbelt Grid,60.0,WO,Waste Oil,2021
0206245,Beluga,215,Railbelt Grid,44.5,WND,Wind,2021
0206245,Beluga,215,Railbelt Grid,191.6,WAT,Water at Hydroelectric Turbine,2021
0206245,Beluga,215,Railbelt Grid,1.9,SUN,Solar,2021
0206245,Beluga,215,Railbelt Grid,104.8,SUB,Subbituminous Coal,2021
0206245,Beluga,215,Railbelt Grid,1403.7,NG,Natural Gas,2021
0206245,Beluga,215,Railbelt Grid,89.5,MWH,Electricity used for Energy Storage,2021
0206245,Beluga,215,Railbelt Grid,90.0,LIG,Lignite Coal,2021
0206245,Beluga,215,Railbelt Grid,11.5,LFG,Landfill Gas,2021
0206245,Beluga,215,Railbelt Grid,231.9,DFO,Distillate Fuel Oil,2021
0206520,Bethel,34,Bethel Grid,0.9,WND,Wind,2021
0206520,Bethel,34,Bethel Grid,12.9,DFO,Distillate Fuel Oil,2021
0206630,Bettles,7,Bettles Grid,0.6,DFO,Distillate Fuel Oil,2021
0206850,Big Delta,215,Railbelt Grid,60.0,WO,Waste Oil,2021
0206850,Big Delta,215,Railbelt Grid,44.5,WND,Wind,2021
0206850,Big Delta,215,Railbelt Grid,191.6,WAT,Water at Hydroelectric Turbine,2021
0206850,Big Delta,215,Railbelt Grid,1.9,SUN,Solar,2021
0206850,Big Delta,215,Railbelt Grid,104.8,SUB,Subbituminous Coal,2021
0206850,Big Delta,215,Railbelt Grid,1403.7,NG,Natural Gas,2021
0206850,Big Delta,215,Railbelt Grid,89.5,MWH,Electricity used for Energy Storage,2021
0206850,Big Delta,215,Railbelt Grid,90.0,LIG,Lignite Coal,2021
0206850,Big Delta,215,Railbelt Grid,11.5,LFG,Landfill Gas,2021
0206850,Big Delta,215,Railbelt Grid,231.9,DFO,Distillate Fuel Oil,2021
0207070,Big Lake,215,Railbelt Grid,60.0,WO,Waste Oil,2021
0207070,Big Lake,215,Railbelt Grid,44.5,WND,Wind,2021
0207070,Big Lake,215,Railbelt Grid,191.6,WAT,Water at Hydroelectric Turbine,2021
0207070,Big Lake,215,Railbelt Grid,1.9,SUN,Solar,2021
0207070,Big Lake,215,Railbelt Grid,104.8,SUB,Subbituminous Coal,2021
0207070,Big Lake,215,Railbelt Grid,1403.7,NG,Natural Gas,2021
0207070,Big Lake,215,Railbelt Grid,89.5,MWH,Electricity used for Energy Storage,2021
0207070,Big Lake,215,Railbelt Grid,90.0,LIG,Lignite Coal,2021
0207070,Big Lake,215,Railbelt Grid,11.5,LFG,Landfill Gas,2021
0207070,Big Lake,215,Railbelt Grid,231.9,DFO,Distillate Fuel Oil,2021
0207620,Birch Creek,98,Birch Creek Grid,,,,
0208740,Brevig Mission,39,Brevig Mission Grid,1.0,DFO,Distillate Fuel Oil,2021
0209600,Buckland,99,Buckland Grid,0.2,WND,Wind,2021
0209600,Buckland,99,Buckland Grid,0.0,SUN,Solar,2021
0209600,Buckland,99,Buckland Grid,0.3,MWH,Electricity used for Energy Storage,2021
0209600,Buckland,99,Buckland Grid,1.2,DFO,Distillate Fuel Oil,2021
0209657,Buffalo Soapstone,215,Railbelt Grid,60.0,WO,Waste Oil,2021
0209657,Buffalo Soapstone,215,Railbelt Grid,44.5,WND,Wind,2021
0209657,Buffalo Soapstone,215,Railbelt Grid,191.6,WAT,Water at Hydroelectric Turbine,2021
0209657,Buffalo Soapstone,215,Railbelt Grid,1.9,SUN,Solar,2021
0209657,Buffalo Soapstone,215,Railbelt Grid,104.8,SUB,Subbituminous Coal,2021
0209657,Buffalo Soapstone,215,Railbelt Grid,1403.7,NG,Natural Gas,2021
0209657,Buffalo Soapstone,215,Railbelt Grid,89.5,MWH,Electricity used for Energy Storage,2021
0209657,Buffalo Soapstone,215,Railbelt Grid,90.0,LIG,Lignite Coal,2021
0209657,Buffalo Soapstone,215,Railbelt Grid,11.5,LFG,Landfill Gas,2021
0209657,Buffalo Soapstone,215,Railbelt Grid,231.9,DFO,Distillate Fuel Oil,2021
0209710,Butte,215,Railbelt Grid,60.0,WO,Waste Oil,2021
0209710,Butte,215,Railbelt Grid,44.5,WND,Wind,2021
0209710,Butte,215,Railbelt Grid,191.6,WAT,Water at Hydroelectric Turbine,2021
0209710,Butte,215,Railbelt Grid,1.9,SUN,Solar,2021
0209710,Butte,215,Railbelt Grid,104.8,SUB,Subbituminous Coal,2021
0209710,Butte,215,Railbelt Grid,1403.7,NG,Natural Gas,2021
0209710,Butte,215,Railbelt Grid,89.5,MWH,Electricity used for Energy Storage,2021
0209710,Butte,215,Railbelt Grid,90.0,LIG,Lignite Coal,2021
0209710,Butte,215,Railbelt Grid,11.5,LFG,Landfill Gas,2021
0209710,Butte,215,Railbelt Grid,231.9,DFO,Distillate Fuel Oil,2021
0210150,Cantwell,215,Railbelt Grid,60.0,WO,Waste Oil,2021
0210150,Cantwell,215,Railbelt Grid,44.5,WND,Wind,2021
0210150,Cantwell,215,Railbelt Grid,191.6,WAT,Water at Hydroelectric Turbine,2021
0210150,Cantwell,215,Railbelt Grid,1.9,SUN,Solar,2021
0210150,Cantwell,215,Railbelt Grid,104.8,SUB,Subbituminous Coal,2021
0210150,Cantwell,215,Railbelt Grid,1403.7,NG,Natural Gas,2021
0210150,Cantwell,215,Railbelt Grid,89.5,MWH,Electricity used for Energy Storage,2021
0210150,Cantwell,215,Railbelt Grid,90.0,LIG,Lignite Coal,2021
0210150,Cantwell,215,Railbelt Grid,11.5,LFG,Landfill Gas,2021
0210150,Cantwell,215,Railbelt Grid,231.9,DFO,Distillate Fuel Oil,2021
0211690,Central,116,Central Grid,0.3,DFO,Distillate Fuel Oil,2021
0211800,Chalkyitsik,100,Chalkyitsik Grid,0.3,DFO,Distillate Fuel Oil,2021
0212350,Chase,215,Railbelt Grid,60.0,WO,Waste Oil,2021
0212350,Chase,215,Railbelt Grid,44.5,WND,Wind,2021
0212350,Chase,215,Railbelt Grid,191.6,WAT,Water at Hydroelectric Turbine,2021
0212350,Chase,215,Railbelt Grid,1.9,SUN,Solar,2021
0212350,Chase,215,Railbelt Grid,104.8,SUB,Subbituminous Coal,2021
0212350,Chase,215,Railbelt Grid,1403.7,NG,Natural Gas,2021
0212350,Chase,215,Railbelt Grid,89.5,MWH,Electricity used for Energy Storage,2021
0212350,Chase,215,Railbelt Grid,90.0,LIG,Lignite Coal,2021
0212350,Chase,215,Railbelt Grid,11.5,LFG,Landfill Gas,2021
0212350,Chase,215,Railbelt Grid,231.9,DFO,Distillate Fuel Oil,2021
0212680,Chefornak,154,Chefornak Grid,0.3,WND,Wind,2021
0212680,Chefornak,154,Chefornak Grid,0.9,DFO,Distillate Fuel Oil,2021
0212920,Chena Ridge,215,Railbelt Grid,60.0,WO,Waste Oil,2021
0212920,Chena Ridge,215,Railbelt Grid,44.5,WND,Wind,2021
0212920,Chena Ridge,215,Railbelt Grid,191.6,WAT,Water at Hydroelectric Turbine,2021
0212920,Chena Ridge,215,Railbelt Grid,1.9,SUN,Solar,2021
0212920,Chena Ridge,215,Railbelt Grid,104.8,SUB,Subbituminous Coal,2021
0212920,Chena Ridge,215,Railbelt Grid,1403.7,NG,Natural Gas,2021
0212920,Chena Ridge,215,Railbelt Grid,89.5,MWH,Electricity used for Energy Storage,2021
0212920,Chena Ridge,215,Railbelt Grid,90.0,LIG,Lignite Coal,2021
