fips_code,name,grid,capacity_mw,fuel_type,year
0212680,Chefornak,Chefornak Grid,0.3,Wind,2021
0212680,Chefornak,Chefornak Grid,0.9,Distillate Fuel Oil,2021
0212920,Chena Ridge,Railbelt Grid,60.0,Waste Oil,2021
0212920,Chena Ridge,Railbelt Grid,44.5,Wind,2021
0212920,Chena Ridge,Railbelt Grid,191.6,Water at Hydroelectric Turbine,2021
0212920,Chena Ridge,Railbelt Grid,1.9,Solar,2021
0212920,Chena Ridge,Railbelt Grid,104.8,Subbituminous Coal,2021
0212920,Chena Ridge,Railbelt Grid,1403.7,Natural Gas,2021
0212920,Chena Ridge,Railbelt Grid,89.5,Electricity used for Energy Storage,2021
0212920,Chena Ridge,Railbelt Grid,90.0,Lignite Coal,2021
0212920,Chena Ridge,Railbelt Grid,11.5,Landfill Gas,2021
0212920,Chena Ridge,Railbelt Grid,231.9,Distillate Fuel Oil,2021
0212970,Chenega,Chenega Grid,0.5,Distillate Fuel Oil,2021
0213230,Chevak,Chevak Grid,0.4,Wind,2021
0213230,Chevak,Chevak Grid,1.8,Distillate Fuel Oil,2021
0213340,Chickaloon,Railbelt Grid,60.0,Waste Oil,2021
0213340,Chickaloon,Railbelt Grid,44.5,Wind,2021
0213340,Chickaloon,Railbelt Grid,191.6,Water at Hydroelectric Turbine,2021
0213340,Chickaloon,Railbelt Grid,1.9,Solar,2021
0213340,Chickaloon,Railbelt Grid,104.8,Subbituminous Coal,2021
0213340,Chickaloon,Railbelt Grid,1403.7,Natural Gas,2021
0213340,Chickaloon,Railbelt Grid,89.5,Electricity used for Energy Storage,2021
0213340,Chickaloon,Railbelt Grid,90.0,Lignite Coal,2021
0213340,Chickaloon,Railbelt Grid,11.5,Landfill Gas,2021
0213340,Chickaloon,Railbelt Grid,231.9,Distillate Fuel Oil,2021
0213450,Chicken,,,,
0213550,Chignik,Chignik Grid,0.1,Water at Hydroelectric Turbine,2021
0213550,Chignik,Chignik Grid,0.6,Distillate Fuel Oil,2021
0213670,Chignik Lagoon,Chignik Lagoon Grid,0.2,Wind,2021
0213670,Chignik Lagoon,Chignik Lagoon Grid,0.5,Distillate Fuel Oil,2021
0213780,Chignik Lake,Chignik Lake Grid,0.4,Distillate Fuel Oil,2021
0213860,Chiniak,Kodiak Grid,9.0,Wind,2021
0213860,Chiniak,Kodiak Grid,33.6,Water at Hydroelectric Turbine,2021
0213860,Chiniak,Kodiak Grid,5.0,Electricity used for Energy Storage,2021
0213860,Chiniak,Kodiak Grid,37.2,Distillate Fuel Oil,2021
0213890,Chisana,,,,
0214000,Chistochina,Slana Grid,1.1,Distillate Fuel Oil,2021
0214110,Chitina,Chitina Grid,0.4,Distillate Fuel Oil,2021
0214330,Chuathbaluk,Chuathbaluk Grid,0.2,Distillate Fuel Oil,2021
0214880,Circle,Circle Grid,0.3,Distillate Fuel Oil,2021
0215320,Clam Gulch,Railbelt Grid,60.0,Waste Oil,2021
0215320,Clam Gulch,Railbelt Grid,44.5,Wind,2021
0215320,Clam Gulch,Railbelt Grid,191.6,Water at Hydroelectric Turbine,2021
0215320,Clam Gulch,Railbelt Grid,1.9,Solar,2021
0215320,Clam Gulch,Railbelt Grid,104.8,Subbituminous Coal,2021
0215320,Clam Gulch,Railbelt Grid,1403.7,Natural Gas,2021
0215320,Clam Gulch,Railbelt Grid,89.5,Electricity used for Energy Storage,2021
0215320,Clam Gulch,Railbelt Grid,90.0,Lignite Coal,2021
0215320,Clam Gulch,Railbelt Grid,11.5,Landfill Gas,2021
0215320,Clam Gulch,Railbelt Grid,231.9,Distillate Fuel Oil,2021
0215430,Clark's Point,Clarks Point Grid,0.3,Distillate Fuel Oil,2021
0216360,Coffman Cove,Prince of Wales Island Grid,11.5,Water at Hydroelectric Turbine,2021
0216360,Coffman Cove,Prince of Wales Island Grid,15.1,Distillate Fuel Oil,2021
0216420,Cohoe,Railbelt Grid,60.0,Waste Oil,2021
0216420,Cohoe,Railbelt Grid,44.5,Wind,2021
0216420,Cohoe,Railbelt Grid,191.6,Water at Hydroelectric Turbine,2021
0216420,Cohoe,Railbelt Grid,1.9,Solar,2021
0216420,Cohoe,Railbelt Grid,104.8,Subbituminous Coal,2021
0216420,Cohoe,Railbelt Grid,1403.7,Natural Gas,2021
0216420,Cohoe,Railbelt Grid,89.5,Electricity used for Energy Storage,2021
0216420,Cohoe,Railbelt Grid,90.0,Lignite Coal,2021
0216420,Cohoe,Railbelt Grid,11.5,Landfill Gas,2021
0216420,Cohoe,Railbelt Grid,231.9,Distillate Fuel Oil,2021
0216530,Cold Bay,Cold Bay Grid,,,
0216630,Coldfoot,,,,
0216750,College,Railbelt Grid,60.0,Waste Oil,2021
0216750,College,Railbelt Grid,44.5,Wind,2021
0216750,College,Railbelt Grid,191.6,Water at Hydroelectric Turbine,2021
0216750,College,Railbelt Grid,1.9,Solar,2021
0216750,College,Railbelt Grid,104.8,Subbituminous Coal,2021
0216750,College,Railbelt Grid,1403.7,Natural Gas,2021
0216750,College,Railbelt Grid,89.5,Electricity used for Energy Storage,2021
0216750,College,Railbelt Grid,90.0,Lignite Coal,2021
0216750,College,Railbelt Grid,11.5,Landfill Gas,2021
0216750,College,Railbelt Grid,231.9,Distillate Fuel Oil,2021
0217190,Cooper Landing,Railbelt Grid,60.0,Waste Oil,2021
0217190,Cooper Landing,Railbelt Grid,44.5,Wind,2021
0217190,Cooper Landing,Railbelt Grid,191.6,Water at Hydroelectric Turbine,2021
0217190,Cooper Landing,Railbelt Grid,1.9,Solar,2021
0217190,Cooper Landing,Railbelt Grid,104.8,Subbituminous Coal,2021
0217190,Cooper Landing,Railbelt Grid,1403.7,Natural Gas,2021
0217190,Cooper Landing,Railbelt Grid,89.5,Electricity used for Energy Storage,2021
0217190,Cooper Landing,Railbelt Grid,90.0,Lignite Coal,2021
0217190,Cooper Landing,Railbelt Grid,11.5,Landfill Gas,2021
0217190,Cooper Landing,Railbelt Grid,231.9,Distillate Fuel Oil,2021
0217300,Copper Center,Copper Valley Grid,5.3,Waste Oil,2021
0217300,Copper Center,Copper Valley Grid,18.5,Water at Hydroelectric Turbine,2021
0217300,Copper Center,Copper Valley Grid,17.8,Distillate Fuel Oil,2021
0217410,Cordova,Cordova Grid,7.2,Water at Hydroelectric Turbine,2021
0217410,Cordova,Cordova Grid,1.0,Electricity used for Energy Storage,2021
0217410,Cordova,Cordova Grid,10.7,Distillate Fuel Oil,2021
0217670,Covenant Life,Upper Lynn Canal Grid,9.8,Water at Hydroelectric Turbine,2021
0217670,Covenant Life,Upper Lynn Canal Grid,14.9,Distillate Fuel Oil,2021
0217740,Craig,Prince of Wales Island Grid,11.5,Water at Hydroelectric Turbine,2021
0217740,Craig,Prince of Wales Island Grid,15.1,Distillate Fuel Oil,2021
0217850,Crooked Creek,Crooked Creek Grid,0.3,Distillate Fuel Oil,2021
0217960,Crown Point,Railbelt Grid,60.0,Waste Oil,2021
0217960,Crown Point,Railbelt Grid,44.5,Wind,2021
0217960,Crown Point,Railbelt Grid,191.6,Water at Hydroelectric Turbine,2021
0217960,Crown Point,Railbelt Grid,1.9,Solar,2021
0217960,Crown Point,Railbelt Grid,104.8,Subbituminous Coal,2021
0217960,Crown Point,Railbelt Grid,1403.7,Natural Gas,2021
0217960,Crown Point,Railbelt Grid,89.5,Electricity used for Energy Storage,2021
0217960,Crown Point,Railbelt Grid,90.0,Lignite Coal,2021
0217960,Crown Point,Railbelt Grid,11.5,Landfill Gas,2021
0217960,Crown Point,Railbelt Grid,231.9,Distillate Fuel Oil,2021
0218510,Deering,Deering Grid,0.1,Wind,2021
0218510,Deering,Deering Grid,0.0,Solar,2021
0218510,Deering,Deering Grid,0.3,Electricity used for Energy Storage,2021
0218510,Deering,Deering Grid,0.4,Distillate Fuel Oil,2021
0218620,Delta Junction,Railbelt Grid,60.0,Waste Oil,2021
0218620,Delta Junction,Railbelt Grid,44.5,Wind,2021
0218620,Delta Junction,Railbelt Grid,191.6,Water at Hydroelectric Turbine,2021
0218620,Delta Junction,Railbelt Grid,1.9,Solar,2021
0218620,Delta Junction,Railbelt Grid,104.8,Subbituminous Coal,2021
0218620,Delta Junction,Railbelt Grid,1403.7,Natural Gas,2021
0218620,Delta Junction,Railbelt Grid,89.5,Electricity used for Energy Storage,2021
0218620,Delta Junction,Railbelt Grid,90.0,Lignite Coal,2021
0218620,Delta Junction,Railbelt Grid,11.5,Landfill Gas,2021
0218620,Delta Junction,Railbelt Grid,231.9,Distillate Fuel Oil,2021
0218675,Deltana,Railbelt Grid,60.0,Waste Oil,2021
0218675,Deltana,Railbelt Grid,44.5,Wind,2021
0218675,Deltana,Railbelt Grid,191.6,Water at Hydroelectric Turbine,2021
0218675,Deltana,Railbelt Grid,1.9,Solar,2021
0218675,Deltana,Railbelt Grid,104.8,Subbituminous Coal,2021
0218675,Deltana,Railbelt Grid,1403.7,Natural Gas,2021
0218675,Deltana,Railbelt Grid,89.5,Electricity used for Energy Storage,2021
0218675,Deltana,Railbelt Grid,90.0,Lignite Coal,2021
0218675,Deltana,Railbelt Grid,11.5,Landfill Gas,2021
0218675,Deltana,Railbelt Grid,231.9,Distillate Fuel Oil,2021
0218805,Denali Park,Railbelt Grid,60.0,Waste Oil,2021
0218805,Denali Park,Railbelt Grid,44.5,Wind,2021
0218805,Denali Park,Railbelt Grid,191.6,Water at Hydroelectric Turbine,2021
0218805,Denali Park,Railbelt Grid,1.9,Solar,2021
0218805,Denali Park,Railbelt Grid,104.8,Subbituminous Coal,2021
0218805,Denali Park,Railbelt Grid,1403.7,Natural Gas,2021
0218805,Denali Park,Railbelt Grid,89.5,Electricity used for Energy Storage,2021
0218805,Denali Park,Railbelt Grid,90.0,Lignite Coal,2021
0218805,Denali Park,Railbelt Grid,11.5,Landfill Gas,2021
0218805,Denali Park,Railbelt Grid,231.9,Distillate Fuel Oil,2021
0218925,Diamond Ridge,Railbelt Grid,60.0,Waste Oil,2021
0218925,Diamond Ridge,Railbelt Grid,44.5,Wind,2021
0218925,Diamond Ridge,Railbelt Grid,191.6,Water at Hydroelectric Turbine,2021
0218925,Diamond Ridge,Railbelt Grid,1.9,Solar,2021
0218925,Diamond Ridge,Railbelt Grid,104.8,Subbituminous Coal,2021
0218925,Diamond Ridge,Railbelt Grid,1403.7,Natural Gas,2021
0218925,Diamond Ridge,Railbelt Grid,89.5,Electricity used for Energy Storage,2021
0218925,Diamond Ridge,Railbelt Grid,90.0,Lignite Coal,2021
0218925,Diamond Ridge,Railbelt Grid,11.5,Landfill Gas,2021
0218925,Diamond Ridge,Railbelt Grid,231.9,Distillate Fuel Oil,2021
0218950,Dillingham,Dillingham Grid,11.0,Distillate Fuel Oil,2021
0219060,Diomede,Diomede Grid,0.5,Distillate Fuel Oil,2021
0219720,Dot Lake,Tok Grid,5.2,Distillate Fuel Oil,2021
0219750,Dot Lake Village,Tok Grid,5.2,Distillate Fuel Oil,2021
0220020,Dry Creek,,,,
0220380,Eagle,Eagle Grid,0.0,Solar,2021
0220380,Eagle,Eagle Grid,0.5,Distillate Fuel Oil,2021
0220600,Eagle Village,Eagle Grid,0.0,Solar,2021
0220600,Eagle Village,Eagle Grid,0.5,Distillate Fuel Oil,2021
0220716,Eareckson Station,,,,
0220970,Edna Bay,,,,
0221040,Eek,Eek Grid,1.1,Distillate Fuel Oil,2021
0221150,Egegik,Egegik Grid,1.0,Distillate Fuel Oil,2021
0221370,Eielson AFB,Railbelt Grid,60.0,Waste Oil,2021
0221370,Eielson AFB,Railbelt Grid,44.5,Wind,2021
0221370,Eielson AFB,Railbelt Grid,191.6,Water at Hydroelectric Turbine,2021
0221370,Eielson AFB,Railbelt Grid,1.9,Solar,2021
0221370,Eielson AFB,Railbelt Grid,104.8,Subbituminous Coal,2021
0221370,Eielson AFB,Railbelt Grid,1403.7,Natural Gas,2021
0221370,Eielson AFB,Railbelt Grid,89.5,Electricity used for Energy Storage,2021
0221370,Eielson AFB,Railbelt Grid,90.0,Lignite Coal,2021
0221370,Eielson AFB,Railbelt Grid,11.5,Landfill Gas,2021
0221370,Eielson AFB,Railbelt Grid,231.9,Distillate Fuel Oil,2021
0221810,Ekwok,New Stuyahok Grid,1.2,Distillate Fuel Oil,2021
0222140,Elfin Cove,Elfin Cove Grid,,,
0222250,Elim,Elim Grid,1.3,Distillate Fuel Oil,2021
0222910,Emmonak,Emmonak Grid,0.4,Wind,2021
0222910,Emmonak,Emmonak Grid,3.2,Distillate Fuel Oil,2021
0223460,Ester,Railbelt Grid,60.0,Waste Oil,2021
0223460,Ester,Railbelt Grid,44.5,Wind,2021
0223460,Ester,Railbelt Grid,191.6,Water at Hydroelectric Turbine,2021
0223460,Ester,Railbelt Grid,1.9,Solar,2021
0223460,Ester,Railbelt Grid,104.8,Subbituminous Coal,2021
0223460,Ester,Railbelt Grid,1403.7,Natural Gas,2021
0223460,Ester,Railbelt Grid,89.5,Electricity used for Energy Storage,2021
0223460,Ester,Railbelt Grid,90.0,Lignite Coal,2021
0223460,Ester,Railbelt Grid,11.5,Landfill Gas,2021
0223460,Ester,Railbelt Grid,231.9,Distillate Fuel Oil,2021
0223720,Eureka Roadhouse,,,,
0223790,Evansville,Bettles Grid,0.6,Distillate Fuel Oil,2021
0223900,Excursion Inlet,,,,
0224230,Fairbanks,Railbelt Grid,60.0,Waste Oil,2021
0224230,Fairbanks,Railbelt Grid,44.5,Wind,2021
0224230,Fairbanks,Railbelt Grid,191.6,Water at Hydroelectric Turbine,2021
0224230,Fairbanks,Railbelt Grid,1.9,Solar,2021
0224230,Fairbanks,Railbelt Grid,104.8,Subbituminous Coal,2021
0224230,Fairbanks,Railbelt Grid,1403.7,Natural Gas,2021
0224230,Fairbanks,Railbelt Grid,89.5,Electricity used for Energy Storage,2021
0224230,Fairbanks,Railbelt Grid,90.0,Lignite Coal,2021
0224230,Fairbanks,Railbelt Grid,11.5,Landfill Gas,2021
0224230,Fairbanks,Railbelt Grid,231.9,Distillate Fuel Oil,2021
0224660,False Pass,False Pass Grid,,,
0225000,Farm Loop,Railbelt Grid,60.0,Waste Oil,2021
0225000,Farm Loop,Railbelt Grid,44.5,Wind,2021
0225000,Farm Loop,Railbelt Grid,191.6,Water at Hydroelectric Turbine,2021
0225000,Farm Loop,Railbelt Grid,1.9,Solar,2021
0225000,Farm Loop,Railbelt Grid,104.8,Subbituminous Coal,2021
0225000,Farm Loop,Railbelt Grid,1403.7,Natural Gas,2021
0225000,Farm Loop,Railbelt Grid,89.5,Electricity used for Energy Storage,2021
0225000,Farm Loop,Railbelt Grid,90.0,Lignite Coal,2021
0225000,Farm Loop,Railbelt Grid,11.5,Landfill Gas,2021
0225000,Farm Loop,Railbelt Grid,231.9,Distillate Fuel Oil,2021
0224980,Farmers Loop,Railbelt Grid,60.0,Waste Oil,2021
0224980,Farmers Loop,Railbelt Grid,44.5,Wind,2021
0224980,Farmers Loop,Railbelt Grid,191.6,Water at Hydroelectric Turbine,2021
0224980,Farmers Loop,Railbelt Grid,1.9,Solar,2021
0224980,Farmers Loop,Railbelt Grid,104.8,Subbituminous Coal,2021
0224980,Farmers Loop,Railbelt Grid,1403.7,Natural Gas,2021
0224980,Farmers Loop,Railbelt Grid,89.5,Electricity used for Energy Storage,2021
0224980,Farmers Loop,Railbelt Grid,90.0,Lignite Coal,2021
0224980,Farmers Loop,Railbelt Grid,11.5,Landfill Gas,2021
0224980,Farmers Loop,Railbelt Grid,231.9,Distillate Fuel Oil,2021
0225220,Ferry,Railbelt Grid,60.0,Waste Oil,2021
0225220,Ferry,Railbelt Grid,44.5,Wind,2021
0225220,Ferry,Railbelt Grid,191.6,Water at Hydroelectric Turbine,2021
0225220,Ferry,Railbelt Grid,1.9,Solar,2021
0225220,Ferry,Railbelt Grid,104.8,Subbituminous Coal,2021
0225220,Ferry,Railbelt Grid,1403.7,Natural Gas,2021
0225220,Ferry,Railbelt Grid,89.5,Electricity used for Energy Storage,2021
0225220,Ferry,Railbelt Grid,90.0,Lignite Coal,2021
0225220,Ferry,Railbelt Grid,11.5,Landfill Gas,2021
0225220,Ferry,Railbelt Grid,231.9,Distillate Fuel Oil,2021
0225550,Fishhook,Railbelt Grid,60.0,Waste Oil,2021
0225550,Fishhook,Railbelt Grid,44.5,Wind,2021
0225550,Fishhook,Railbelt Grid,191.6,Water at Hydroelectric Turbine,2021
0225550,Fishhook,Railbelt Grid,1.9,Solar,2021
0225550,Fishhook,Railbelt Grid,104.8,Subbituminous Coal,2021
0225550,Fishhook,Railbelt Grid,1403.7,Natural Gas,2021
0225550,Fishhook,Railbelt Grid,89.5,Electricity used for Energy Storage,2021
0225550,Fishhook,Railbelt Grid,90.0,Lignite Coal,2021
0225550,Fishhook,Railbelt Grid,11.5,Landfill Gas,2021
0225550,Fishhook,Railbelt Grid,231.9,Distillate Fuel Oil,2021
0225880,Flat,,,,
0226100,Fort Greely,Railbelt Grid,60.0,Waste Oil,2021
0226100,Fort Greely,Railbelt Grid,44.5,Wind,2021
