year,price,units,duoarea,area_name,process,process_name,series,series_description
2022,6.23,$/MCF,SAK,USA-AK,PEU,Electric Power Price,N3045AK3,Alaska Natural Gas Price Sold to Electric Power Consumers (Dollars per Thousand Cubic Feet)
2022,7.69,$/MCF,NUS,U.S.,PIN,Industrial Price,N3035US3,United States Natural Gas Industrial Price (Dollars per Thousand Cubic Feet)
2022,6.72,$/MCF,SAK,USA-AK,PIN,Industrial Price,N3035AK3,Alaska Natural Gas Industrial Price (Dollars per Thousand Cubic Feet)
2022,11.32,$/MCF,NUS,U.S.,PCS,Price Delivered to Commercial Sectors,N3020US3,U.S. Price of Natural Gas Sold to Commercial Consumers (Dollars per Thousand Cubic Feet)
2022,10.13,$/MCF,SAK,USA-AK,PCS,Price Delivered to Commercial Sectors,N3020AK3,Alaska Price of Natural Gas Sold to Commercial Consumers (Dollars per Thousand Cubic Feet)
2022,14.75,$/MCF,NUS,U.S.,PRS,Price Delivered to Residential Consumers,N3010US3,U.S. Price of Natural Gas Delivered to Residential Consumers (Dollars per Thousand Cubic Feet)
2022,11.08,$/MCF,SAK,USA-AK,PRS,Price Delivered to Residential Consumers,N3010AK3,Alaska Price of Natural Gas Delivered to Residential Consumers (Dollars per Thousand Cubic Feet)
2021,6.02,$/MCF,NUS,U.S.,PG1,City Gate Price,N3050US3,U.S. Natural Gas Citygate Price (Dollars per Thousand Cubic Feet)
2021,7.94,$/MCF,SAK,USA-AK,PG1,City Gate Price,N3050AK3,Natural Gas Citygate Price in Alaska (Dollars per Thousand Cubic Feet)
2021,5.43,$/MCF,NUS,U.S.,PEU,Electric Power Price,N3045US3,U.S. Natural Gas Electric Power Price (Dollars per Thousand Cubic Feet)
2021,6.25,$/MCF,SAK,USA-AK,PEU,Electric Power Price,N3045AK3,Alaska Natural Gas Price Sold to Electric Power Consumers (Dollars per Thousand Cubic Feet)
2021,5.44,$/MCF,NUS,U.S.,PIN,Industrial Price,N3035US3,United States Natural Gas Industrial Price (Dollars per Thousand Cubic Feet)
2021,5.2,$/MCF,SAK,USA-AK,PIN,Industrial Price,N3035AK3,Alaska Natural Gas Industrial Price (Dollars per Thousand Cubic Feet)
2021,8.79,$/MCF,NUS,U.S.,PCS,Price Delivered to Commercial Sectors,N3020US3,U.S. Price of Natural Gas Sold to Commercial Consumers (Dollars per Thousand Cubic Feet)
2021,9.88,$/MCF,SAK,USA-AK,PCS,Price Delivered to Commercial Sectors,N3020AK3,Alaska Price of Natural Gas Sold to Commercial Consumers (Dollars per Thousand Cubic Feet)
2021,12.18,$/MCF,NUS,U.S.,PRS,Price Delivered to Residential Consumers,N3010US3,U.S. Price of Natural Gas Delivered to Residential Consumers (Dollars per Thousand Cubic Feet)
2021,10.94,$/MCF,SAK,USA-AK,PRS,Price Delivered to Residential Consumers,N3010AK3,Alaska Price of Natural Gas Delivered to Residential Consumers (Dollars per Thousand Cubic Feet)
2020,3.43,$/MCF,NUS,U.S.,PG1,City Gate Price,N3050US3,U.S. Natural Gas Citygate Price (Dollars per Thousand Cubic Feet)
2020,8.25,$/MCF,SAK,USA-AK,PG1,City Gate Price,N3050AK3,Natural Gas Citygate Price in Alaska (Dollars per Thousand Cubic Feet)
2020,2.49,$/MCF,NUS,U.S.,PEU,Electric Power Price,N3045US3,U.S. Natural Gas Electric Power Price (Dollars per Thousand Cubic Feet)
2020,6.44,$/MCF,SAK,USA-AK,PEU,Electric Power Price,N3045AK3,Alaska Natural Gas Price Sold to Electric Power Consumers (Dollars per Thousand Cubic Feet)
2020,3.32,$/MCF,NUS,U.S.,PIN,Industrial Price,N3035US3,United States Natural Gas Industrial Price (Dollars per Thousand Cubic Feet)
2020,4.83,$/MCF,SAK,USA-AK,PIN,Industrial Price,N3035AK3,Alaska Natural Gas Industrial Price (Dollars per Thousand Cubic Feet)
2020,7.48,$/MCF,NUS,U.S.,PCS,Price Delivered to Commercial Sectors,N3020US3,U.S. Price of Natural Gas Sold to Commercial Consumers (Dollars per Thousand Cubic Feet)
