id,community_id,start_year,end_year,is_most_recent,geo_src,e_pop_age_total,m_pop_age_total,e_pop_age_under_5,m_pop_age_under_5,e_pop_age_5_9,m_pop_age_5_9,e_pop_age_10_14,m_pop_age_10_14,e_pop_age_15_19,m_pop_age_15_19,e_pop_age_20_24,m_pop_age_20_24,e_pop_age_25_34,m_pop_age_25_34,e_pop_age_35_44,m_pop_age_35_44,e_pop_age_45_54,m_pop_age_45_54,e_pop_age_55_59,m_pop_age_55_59,e_pop_age_60_64,m_pop_age_60_64,e_pop_age_65_74,m_pop_age_65_74,e_pop_age_75_84,m_pop_age_75_84,e_pop_age_85_plus,m_pop_age_85_plus,e_pop_age_median_age,m_pop_age_median_age,e_pop_age_under_18,m_pop_age_under_18,e_pop_age_18_plus,m_pop_age_18_plus,e_pop_age_21_plus,m_pop_age_21_plus,e_pop_age_62_plus,m_pop_age_62_plus,e_pop_age_65_plus,m_pop_age_65_plus,e_pop_total,m_pop_total,e_pop_male,m_pop_male,e_pop_female,m_pop_female
171,{AFAD8F2B-A3E7-42E7-A5D7-3AC28A5988D4},2019,2023,1,P,83,34,0,10,0,10,0,10,0,10,19,17,5,9,0,10,22,15,9,7,11,8,6,5,11,8,0,10,52.5,3.9,0,10,83,34,83,34,24,14,17,11,83,34,49,23,34,14
174,{52BCEDDA-9254-47D3-9A2A-3B00217A0661},2019,2023,1,P,309,81,25,19,28,18,27,19,15,13,16,19,11,17,24,21,29,18,48,25,21,15,41,21,23,11,1,3,46,12.7,94,43,215,51,212,50,86,32,65,26,309,81,166,49,143,43
176,{2D6814D6-89F0-4625-BF64-3C6A59C5FA97},2019,2023,1,P,799,195,34,21,52,33,40,25,47,28,37,36,80,45,84,43,103,42,57,32,79,37,154,49,32,28,0,10,48.2,8.1,168,77,631,139,603,131,246,69,186,59,799,195,412,107,387,102
177,{049CEFC6-7BD3-4DA4-98C6-3D0DBE9942E3},2019,2023,1,P,136,85,10,9,25,21,16,15,7,10,24,40,18,19,7,8,8,9,9,9,5,6,7,8,0,10,0,10,23.4,4.6,56,43,80,55,78,54,8,8,7,8,136,85,78,54,58,40
180,{69F4E278-CF90-4297-B76E-3E6C8AF33FFF},2019,2023,1,P,4887,816,288,135,428,147,302,169,330,225,125,146,882,473,740,248,566,208,353,191,307,174,294,164,256,227,16,27,36.5,5,1194,294,3693,659,3539,622,711,332,566,289,4887,816,2629,549,2258,416
181,{EF9C5E4E-265E-4453-B87F-401952925FE6},2019,2023,1,C,8277,,1074,27,949,69,953,66,747,11,560,11,1176,4,849,86,671,44,395,54,372,55,390,7,128,9,13,9,23.6,0.4,3459,53,4818,53,4452,52,745,49,531,7,8277,,4431,40,3846,40
184,{10BA1AD9-39AC-440F-BCE9-40BC75DAD436},2019,2023,1,P,787,289,6,9,11,9,0,10,0,10,0,10,89,119,481,460,86,97,91,122,0,10,23,24,0,10,0,10,44.4,3.3,17,15,770,289,770,289,23,24,23,24,787,289,674,327,113,65
185,{9F0EF727-1805-4199-AD1B-40C49AF1B61C},2019,2023,1,P,108,29,4,5,3,8,3,8,0,10,3,6,10,16,2,4,26,36,7,8,30,43,11,12,9,10,0,10,56,19.4,10,18,98,19,98,19,27,17,20,15,108,29,34,25,74,31
188,{E0F2C831-698F-4BCE-8AC1-4162BE7D6DCD},2019,2023,1,P,403,78,56,17,54,18,54,16,40,17,24,14,37,14,74,25,9,11,8,7,21,17,21,13,5,4,0,10,19.4,4.2,195,47,208,46,192,41,42,22,26,14,403,78,222,53,181,39
190,{D9F6FF1F-CC12-41CB-B678-41BBCC900FF9},2019,2023,1,P,109,33,2,3,4,7,7,6,3,5,7,9,17,12,9,8,4,5,19,11,12,8,21,9,2,6,2,3,55.4,37.8,16,15,93,30,92,30,37,14,25,12,109,33,51,19,58,20
191,{E39576F3-5473-4050-AD4E-430B55770A08},2019,2023,1,C,2029,99,79,36,49,25,98,40,76,38,64,50,347,336,623,413,206,108,166,128,45,24,213,63,50,26,13,11,44.1,9,268,73,1761,99,1726,104,300,67,276,64,2029,99,1282,214,747,203
193,{F020D8C7-7FD0-4AFE-85DC-43D1C0A0B5F0},2019,2023,1,P,4430,416,88,20,198,63,138,24,325,97,311,113,849,221,801,172,871,140,459,104,144,57,220,80,24,11,2,3,38.7,2,564,85,3866,395,3643,376,320,92,246,83,4430,416,3035,331,1395,134
196,{01088110-F1CF-4DF6-A7C8-446D20A2B257},2019,2023,1,P,691,165,91,38,93,39,102,28,27,12,49,19,110,48,73,24,31,13,40,23,25,14,40,16,10,11,0,10,22,4.2,307,90,384,90,370,89,59,23,50,20,691,165,345,66,346,116
197,{EDB9EEBA-7A73-42DB-9658-44DA2280EBE3},2019,2023,1,P,872,242,62,28,128,73,97,44,127,48,46,24,117,58,78,34,40,16,59,40,83,40,11,9,24,14,0,10,21.2,6.7,365,136,507,124,438,111,92,44,35,17,872,242,468,132,404,141
199,{F7D03E2F-5588-4343-BE94-44E824B7A836},2019,2023,1,P,50,57,0,10,0,10,0,10,2,3,0,10,11,31,21,37,9,29,5,6,2,3,0,10,0,10,0,10,42.3,12.6,2,3,48,57,48,57,0,10,0,10,50,57,44,56,6,7
202,{644B47A1-3B29-48C4-8EF0-4585B2204F2E},2019,2023,1,P,8136,893,418,196,543,201,635,207,674,179,320,133,874,269,1217,372,1099,207,386,173,662,331,959,215,182,114,167,112,40.6,3.1,2004,470,6132,611,5759,586,1652,277,1308,228,8136,893,4136,505,4000,526
203,{E0D07527-6185-42A6-87A3-465F20FDF512},2019,2023,1,P,180,60,24,23,13,11,9,9,5,5,4,6,12,21,16,15,9,8,10,8,13,10,57,26,4,6,4,7,52,23.2,48,34,132,41,127,40,69,29,65,29,180,60,107,33,73,36
206,{2F86B48B-D348-47DD-ABED-46CE01770ECC},2019,2023,1,P,1472,196,47,30,53,26,140,48,125,48,113,54,115,53,134,49,194,51,111,37,171,49,174,53,75,27,20,16,45.2,5.1,298,83,1174,152,1090,137,328,73,269,62,1472,196,698,97,774,133
207,{31997E44-F3ED-4BD0-87C7-471DA4CF099D},2019,2023,1,P,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,,,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10
210,{E98663F6-E635-4427-85F1-48E3042D196E},2019,2023,1,P,201,57,21,13,28,14,12,7,4,5,10,7,30,17,16,8,15,10,8,7,6,11,32,17,14,17,5,6,33.8,5.3,65,29,136,38,130,38,54,26,51,26,201,57,100,35,101,35
211,{5790AC9E-408E-42C0-BDC7-490DB0451EAD},2019,2023,1,P,146,80,0,10,13,12,3,5,6,9,18,23,0,10,39,31,42,42,12,11,6,6,7,9,0,10,0,10,43,8.5,20,17,126,72,124,72,9,9,7,9,146,80,92,71,54,25
214,{CF24E3C4-5B20-4D19-BAA0-498A17870CA8},2019,2023,1,P,318,147,41,42,4,5,14,21,0,10,18,14,63,65,14,13,11,13,27,29,17,20,82,39,23,24,4,5,49.1,34.1,59,62,259,94,259,94,121,47,109,46,318,147,150,73,168,80
215,{0C46910A-CF22-422A-A69E-499EC6219D46},2019,2023,1,P,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,,,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10
218,{6F84CE74-EDA0-4424-A080-4A7C0F08E5DF},2019,2023,1,P,229,84,16,9,3,4,32,26,31,20,3,5,26,23,20,10,20,15,26,22,25,16,23,12,1,3,3,4,35.5,9.3,82,46,147,43,146,43,44,17,27,13,229,84,161,60,68,31
219,{9E47F9E2-5A8D-4DD2-96DE-4A9F52F35A57},2019,2023,1,C,6936,,500,26,476,89,516,100,381,48,389,72,868,74,895,81,937,89,405,92,470,110,732,46,259,64,108,55,37.9,1.3,1751,8,5185,8,4990,58,1324,61,1099,21,6936,,3974,85,2962,85
222,{2FD931D4-12DB-45C2-834A-4B4559E54BA5},2019,2023,1,P,629,103,71,21,75,24,75,19,68,18,52,13,115,42,56,19,39,18,20,10,20,12,10,10,25,13,3,5,21.6,2.5,271,55,358,61,322,60,51,19,38,15,629,103,363,69,266,51
223,{A8F5B7D5-CE39-47C3-BAB5-4BA4EDCEF514},2019,2023,1,P,174,57,15,17,3,3,4,6,15,15,0,10,12,11,0,10,11,12,7,8,27,19,43,17,37,19,0,10,62.4,6.2,26,24,148,43,137,38,89,24,80,25,174,57,82,27,92,32
227,{BF799AFC-92DA-47A3-89EF-4BB1B31FDE2B},2019,2023,1,C,506,66,29,16,17,9,6,4,16,13,40,62,61,36,56,31,65,29,35,20,41,19,92,39,38,15,10,7,53.2,14.1,66,25,440,60,430,64,168,44,140,43,506,66,333,53,173,41
228,{BF799AFC-92DA-47A3-89EF-4BB1B31FDE2B},2019,2023,1,P,506,66,29,16,17,9,6,4,16,13,40,62,61,36,56,31,65,29,35,20,41,19,92,39,38,15,10,7,53.2,14.1,66,25,440,60,430,64,168,44,140,43,506,66,333,53,173,41
229,{6969DC3C-BFDA-4D1D-B7F5-4BCBF7C5318A},2019,2023,1,P,17,124,0,10,0,10,0,10,3,8,11,103,0,10,3,20,0,10,0,10,0,10,0,10,0,10,0,10,21.5,8.1,0,10,17,124,11,87,0,10,0,10,17,124,17,124,0,10
232,{95BD0825-5CB3-4695-B177-4D026DA5894C},2019,2023,1,P,491,101,110,30,64,27,49,22,37,14,31,14,68,26,50,26,17,13,10,9,18,10,20,13,14,9,3,4,18.3,3.6,243,62,248,53,228,49,42,19,37,17,491,101,268,58,223,52
234,{9D089209-6790-456D-85A0-4D3282C8B989},2019,2023,1,P,32,15,0,10,3,4,4,4,0,10,1,2,2,4,0,10,2,4,0,10,3,3,14,10,3,4,0,10,70.2,20,7,4,25,14,25,14,17,12,17,12,32,15,13,8,19,12
235,{88062838-37F6-4578-9FDD-4DBF5CACD276},2019,2023,1,P,813,113,83,24,124,22,138,31,53,17,61,21,86,33,94,22,69,21,41,17,17,11,29,13,15,11,3,4,20.7,3.1,384,66,429,60,403,59,56,19,47,18,813,113,474,64,339,66
237,{28ACD99B-0BF6-4373-A5BA-4F063E34485C},2019,2023,1,P,666,118,86,22,87,24,87,25,41,18,35,15,96,23,87,33,43,18,24,12,19,10,55,22,4,4,2,3,24.6,3.4,286,61,380,68,362,65,76,23,61,22,666,118,349,62,317,62
240,{758654AC-720A-4314-AC3E-4F1FC39187C4},2019,2023,1,P,97,45,0,10,3,5,0,10,8,8,3,5,16,16,18,21,7,9,16,13,5,8,12,10,9,9,0,10,51.3,17,11,12,86,41,86,41,26,15,21,12,97,45,47,27,50,29
241,{6825185D-29C7-42DB-A603-4F37EDDF219C},2019,2023,1,C,9925,,858,37,907,81,1058,72,814,42,741,157,1433,165,1241,62,1048,77,540,41,449,39,603,24,188,27,45,20,29.4,1.2,3369,29,6556,29,6141,76,1057,36,836,17,9925,,5189,73,4736,73
244,{E4085300-359F-4509-9843-50524D6A0692},2019,2023,1,P,19,25,0,10,0,10,0,10,0,10,0,10,0,10,0,10,19,25,0,10,0,10,0,10,0,10,0,10,,,0,10,19,25,19,25,0,10,0,10,19,25,11,14,8,11
245,{1A2DC081-51F5-4F8F-AE9B-516B4A83C31C},2019,2023,1,P,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,,,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10
248,{887F3239-34EE-4A3A-9B7A-522E212DA730},2019,2023,1,P,38,35,3,5,4,6,6,9,0,10,2,3,7,8,12,12,0,10,4,6,0,10,0,10,0,10,0,10,26,10.5,13,19,25,22,25,22,0,10,0,10,38,35,21,19,17,17
249,{A446B551-74BE-4F56-B131-523C342C41BA},2019,2023,1,P,530,96,64,23,90,28,40,18,40,13,17,10,91,27,52,23,21,11,15,11,31,14,57,21,12,9,0,10,27,2.4,221,59,309,52,296,52,87,25,69,22,530,96,292,54,238,56
251,{2416B7D2-6E1E-47A0-8550-530D41B50117},2019,2023,1,P,571,440,0,10,0,10,27,46,19,33,0,10,102,131,44,75,109,117,19,32,49,63,178,176,24,42,0,10,54.6,14.5,46,78,525,415,525,415,251,204,202,196,571,440,362,293,209,158
254,{D57C95FC-45D5-44E0-B99B-5325C15EBE66},2019,2023,1,P,737,215,13,7,9,7,4,4,4,5,60,43,177,84,203,108,125,71,47,41,56,42,37,25,2,3,0,10,40.4,2.5,28,13,709,215,707,217,46,29,39,26,737,215,563,244,174,60
255,{55DEA83C-221E-4084-B00F-536B59BE5069},2019,2023,1,P,206,173,0,10,0,10,0,10,16,25,0,10,0,10,13,16,68,73,43,62,46,44,20,24,0,10,0,10,59.1,11.7,16,25,190,169,190,169,46,38,20,24,206,173,143,113,63,65
257,{A3F13BA5-7501-4638-B3B8-55A7131B5C17},2019,2023,1,P,3,6,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,3,6,0,10,0,10,0,10,,,0,10,3,6,3,6,2,3,0,10,3,6,2,3,1,4
260,{99F023D0-9290-48CE-8E68-5683A57192DC},2019,2023,1,P,28,20,2,3,0,10,2,3,2,3,0,10,5,6,3,4,2,3,1,2,3,4,6,6,2,3,0,10,44.5,24.9,6,6,22,16,22,16,8,8,8,8,28,20,10,11,18,13
261,{9177B2E0-91EE-4644-A900-570CEA299846},2019,2023,1,P,211,58,34,17,16,10,30,13,18,8,10,7,25,16,23,9,11,7,7,7,10,7,21,11,6,7,0,10,23.4,7.2,90,35,121,32,108,29,30,12,27,12,211,58,107,29,104,35
264,{0E1213D7-970C-4532-B874-5742D6D4989B},2019,2023,1,P,1781,111,61,38,133,51,165,67,107,38,30,31,98,64,192,84,233,85,116,52,172,67,298,86,152,61,24,18,49.4,8.2,456,137,1325,125,1315,123,547,114,474,106,1781,111,881,115,900,95
265,{86E9E60C-762A-4D26-A7CC-57DC74916D5B},2019,2023,1,P,2735,14,121,102,155,97,232,153,103,68,45,26,502,145,443,151,271,127,112,89,234,132,351,158,42,53,124,77,42.6,6.5,589,236,2146,236,2110,239,678,269,517,202,2735,14,1746,190,989,190
268,{452DEEAD-0063-4786-BCAF-5835043C441F},2019,2023,1,P,773,125,24,20,23,19,51,34,32,20,37,27,29,22,76,35,36,19,56,27,97,32,172,44,108,40,32,26,61.5,4.1,113,48,660,103,637,101,373,80,312,75,773,125,395,76,378,69
269,{DCAD0CFE-6A84-4C8F-9B32-597927D02D3A},2019,2023,1,P,10583,705,617,177,768,164,946,179,859,207,544,149,1407,295,1549,192,1356,190,624,119,630,128,942,187,265,77,76,43,36.4,2.4,2924,326,7659,511,7292,484,1717,216,1283,204,10583,705,5477,409,5106,423
271,{BDF65BBA-7D3D-4EFD-8DC7-59E48EA68082},2019,2023,1,P,297,59,18,11,7,6,26,13,22,10,10,7,42,26,39,21,32,12,8,8,22,12,45,15,20,15,6,6,39.8,7.9,72,24,225,51,219,48,86,28,71,24,297,59,156,36,141,33
274,{8ECE306F-1205-474A-AF5D-5A82326AFDD3},2019,2023,1,P,464,155,45,25,56,29,81,40,31,13,14,20,92,51,51,29,32,41,12,10,25,14,20,18,5,7,0,10,25.7,5,195,84,269,88,246,83,46,26,25,19,464,155,253,99,211,79
275,{8D01840C-135C-49A1-A1FE-5C63881EEF8A},2019,2023,1,P,1008,207,126,33,123,37,83,35,95,28,35,17,112,47,125,117,169,88,42,20,52,25,34,20,12,10,0,10,30.1,9.5,406,89,602,182,572,181,72,30,46,22,1008,207,516,114,492,130
278,{A79A606F-AA69-4994-A5A0-5E8AFE9EBA9A},2019,2023,1,P,139,63,8,7,15,10,20,13,11,9,5,6,41,25,19,12,10,12,3,4,4,5,3,4,0,10,0,10,28.8,3.1,53,29,86,39,83,37,3,4,3,4,139,63,96,46,43,21
279,{ED284F88-6827-4DC4-B028-5F0BFA6CF129},2019,2023,1,P,200,85,23,19,17,15,15,16,6,6,0,10,33,31,19,12,21,18,16,14,9,8,32,23,4,9,5,8,36.4,19.2,61,48,139,48,139,48,50,27,41,25,200,85,106,48,94,47
281,{966F0EEE-4376-4C8B-B1B8-6201D91E3EB4},2019,2023,1,P,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,,,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10
284,{1026755E-5B75-45B6-98C8-6284B2D3C08B},2019,2023,1,P,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,,,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10
285,{4C04DC5F-DBC0-42D6-BFF7-62C40E838EAA},2019,2023,1,P,95,35,18,9,11,6,14,10,10,6,0,10,11,9,20,11,3,3,3,4,3,5,2,5,0,10,0,10,17.6,2.8,50,23,45,16,42,15,5,7,2,5,95,35,43,19,52,20
288,{F040B0E7-B5F6-47BE-82E0-63A3AC90CEC9},2019,2023,1,C,1308,76,65,24,43,14,49,17,35,15,78,78,218,117,201,77,227,77,67,62,92,60,144,43,80,26,9,8,42.5,4.8,177,39,1131,73,1113,74,283,69,233,53,1308,76,532,108,776,109
290,{F040B0E7-B5F6-47BE-82E0-63A3AC90CEC9},2019,2023,1,P,1212,91,59,22,34,11,49,17,35,15,78,78,214,116,195,75,227,77,67,62,70,50,103,24,76,25,5,6,40.8,4.4,162,36,1050,84,1032,84,232,62,184,36,1212,91,478,109,734,112
291,{9E739177-0E1D-4131-A1AD-63F6A6F5E677},2019,2023,1,P,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,,,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10
293,{2F5F6904-B47C-439D-9AC1-64135C4403A6},2019,2023,1,P,598,100,50,20,66,21,27,13,33,15,22,14,75,25,69,24,67,23,43,18,38,18,63,21,40,16,5,4,38,4,166,44,432,71,413,66,141,30,108,26,598,100,301,58,297,54
296,{2DA35656-FC1D-4370-A191-64BB54EB5787},2019,2023,1,C,10891,,636,52,759,130,807,132,778,105,609,118,1786,218,1719,198,1461,213,851,167,627,121,668,145,157,63,33,25,35.2,0.6,2714,127,8177,127,7808,135,1123,164,858,136,10891,,6647,189,4244,189
297,{427130A7-E294-4C77-9945-66799C9AE903},2019,2023,1,P,25,38,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,25,38,0,10,0,10,,,0,10,25,38,25,38,25,38,25,38,25,38,13,19,12,19
300,{FAF5958B-8A56-4E28-B3B1-66B772A5A166},2019,2023,1,P,35,18,2,3,0,10,4,5,2,3,2,3,7,6,0,10,3,4,6,6,1,2,3,4,5,7,0,10,52.5,36.3,8,7,27,15,27,15,8,8,8,8,35,18,14,8,21,11
301,{093A0B52-9C15-4F33-8872-681E456A939D},2019,2023,1,P,31,17,5,8,0,10,0,10,3,6,0,10,0,10,3,4,5,6,8,7,7,9,0,10,0,10,0,10,53.8,7.4,8,10,23,12,23,12,4,7,0,10,31,17,17,11,14,13
304,{C4939227-7B0D-42C1-9C0D-69118EE45B96},2019,2023,1,P,7562,23,535,191,490,198,569,153,446,124,590,225,1278,248,954,193,1000,188,471,174,398,139,580,127,218,107,33,32,34.1,2.5,1839,300,5723,301,5424,291,1102,209,831,159,7562,23,3869,264,3693,266
305,{DFE91156-E4B0-4DC7-B3F9-6A61A37FF0D4},2019,2023,1,P,20,17,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,3,7,0,10,3,5,10,10,4,6,76,7.6,0,10,20,17,20,17,17,15,17,15,20,17,11,10,9,11
308,{319107E2-FB9A-474B-8237-6A8CFF382E09},2019,2023,1,P,125,53,16,13,20,14,16,10,8,8,9,9,14,10,17,10,14,10,0,10,2,3,3,7,6,7,0,10,22.1,11.6,57,34,68,27,65,27,11,11,9,11,125,53,72,32,53,28
309,{2C14D0F5-3E1B-4BEC-ABCB-6AEED5368B0C},2019,2023,1,P,174,141,0,10,5,6,9,9,17,15,16,15,96,134,12,16,1,3,6,9,1,4,4,4,2,3,5,6,33.4,12.3,16,13,158,140,143,138,12,8,11,8,174,141,123,137,51,25
312,{962DB38D-BABD-43F0-AF8E-6B3C0964C131},2019,2023,1,P,278,58,20,7,29,13,41,16,41,13,27,14,23,16,29,12,26,11,17,8,10,7,14,9,1,4,0,10,20.9,2.3,113,29,165,37,138,31,22,10,15,9,278,58,167,35,111,33
313,{E49E42CA-BF94-44E1-9650-6B93C551222E},2019,2023,1,P,172,66,0,10,6,8,5,8,4,6,0,10,0,10,7,9,27,22,11,9,17,16,76,40,9,7,10,11,65.3,3.3,15,21,157,57,157,57,108,48,95,42,172,66,96,39,76,38
316,{03A313E3-0987-4B72-8EC9-6C92E01A12A2},2019,2023,1,P,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,,,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10
317,{6F43A244-13B0-42B5-92FB-6D2ACE90ED71},2019,2023,1,P,73,46,8,11,0,10,6,12,0,10,0,10,9,13,8,12,0,10,8,11,13,16,21,16,0,10,0,10,55.7,22.4,14,16,59,36,59,36,27,17,21,16,73,46,46,24,27,27
320,{25A4F514-7ADF-4F62-873B-6D2F16141D13},2019,2023,1,P,44,29,0,10,0,10,4,6,0,10,0,10,8,9,4,5,6,9,0,10,17,16,0,10,0,10,5,8,55,24.6,4,6,40,26,40,26,22,18,5,8,44,29,18,16,26,19
321,{AB4874F1-29EA-49F7-9573-6DC9A2C45F81},2019,2023,1,P,2064,316,171,53,190,82,157,69,135,68,89,55,259,111,234,94,295,101,68,58,132,63,187,64,118,63,29,29,36.3,3.6,614,131,1450,230,1369,209,397,94,334,83,2064,316,1019,179,1045,182
324,{07E54FE2-DCBE-4AD4-8894-6E012A80DDB1},2019,2023,1,P,76,70,0,10,0,10,0,10,0,10,0,10,0,10,28,44,0,10,0,10,32,49,16,23,0,10,0,10,62.4,31.4,0,10,76,70,76,70,48,56,16,23,76,70,23,26,53,55
325,{C1B6F29B-4A04-42DE-9F90-6F108C6C13A9},2019,2023,1,P,36,24,1,3,13,13,0,10,0,10,0,10,0,10,13,18,3,4,1,4,0,10,5,5,0,10,0,10,37.6,36.7,14,13,22,18,22,18,5,5,5,5,36,24,22,19,14,12
328,{7102AFBB-6F0A-4C7A-92FF-6F5A6D66AB18},2019,2023,1,P,32242,49,2624,431,2542,467,1859,375,1730,905,4401,979,6751,598,3509,448,2795,530,1284,305,1017,261,2544,456,918,258,268,140,28.6,2.2,7994,942,24248,948,22898,991,4274,601,3730,557,32242,49,17299,1367,14943,1361
329,{179D4B3A-A5AC-43B1-9AE0-6F7B6B7A3CB3},2019,2023,1,P,1338,167,80,22,98,40,104,42,104,33,81,30,131,57,200,54,114,61,136,39,84,26,146,31,48,25,12,10,38.5,4.2,342,73,996,122,946,117,254,42,206,36,1338,167,743,114,595,79
332,{99E9981F-255D-4678-9D2E-704DC07798D6},2019,2023,1,C,8393,,385,20,472,72,495,71,464,96,476,127,1249,98,1187,60,1000,62,460,88,756,87,875,50,400,78,174,71,39.6,0.8,1647,24,6746,24,6541,94,1792,80,1449,38,8393,,4367,51,4026,51
333,{99E9981F-255D-4678-9D2E-704DC07798D6},2019,2023,1,P,8393,,385,20,472,72,495,71,464,96,476,127,1249,98,1187,60,1000,62,460,88,756,87,875,50,400,78,174,71,39.6,0.8,1647,24,6746,24,6541,94,1792,80,1449,38,8393,,4367,51,4026,51
336,{6271DC39-C422-443B-AB71-71A2246047FD},2019,2023,1,P,33,33,8,11,0,10,0,10,0,10,0,10,5,7,0,10,0,10,6,8,0,10,6,9,0,10,8,9,56.6,22.6,8,11,25,23,25,23,14,12,14,12,33,33,19,17,14,19
337,{68670103-A544-40F0-AD9E-7215DEC2434C},2019,2023,1,P,117,72,3,5,0,10,0,10,0,10,8,11,35,42,8,11,14,12,46,42,0,10,0,10,0,10,3,6,50.3,31.8,3,5,114,70,114,70,3,6,3,6,117,72,72,48,45,33
340,{9B8441F9-AEFE-4E1D-BD2C-725FCCBB0299},2019,2023,1,P,153,59,12,9,12,10,15,12,10,9,8,16,27,17,24,17,25,13,2,4,6,5,5,7,7,10,0,10,32.4,8.9,46,25,107,41,104,40,13,13,12,13,153,59,94,40,59,27
341,{06A5691A-049B-426D-85BC-73439735D4DB},2019,2023,1,P,290,74,15,10,21,17,28,17,13,10,6,9,32,19,23,14,23,17,48,25,35,18,28,13,18,11,0,10,50.1,14,73,32,217,55,211,51,60,22,46,17,290,74,150,39,140,46
344,{85E095CB-FA7C-489E-81CF-7471581BE04A},2019,2023,1,P,67,38,7,7,11,8,11,8,0,10,0,10,27,25,1,4,4,4,1,3,1,3,4,5,0,10,0,10,28.9,10,29,21,38,24,38,24,5,6,4,5,67,38,30,22,37,22
345,{43789012-2A4F-4391-8762-748A33755153},2019,2023,1,P,2174,392,112,77,88,66,115,104,129,124,42,50,171,87,238,142,309,129,165,94,298,118,250,103,232,112,25,40,54,5.8,444,203,1730,281,1711,276,614,171,507,144,2174,392,1158,232,1016,241
348,{5CD6634F-015C-4D3A-8F00-755FB6A3D186},2019,2023,1,P,100,58,21,22,12,20,4,7,4,8,8,12,5,7,11,10,7,10,2,3,12,10,12,10,2,4,0,10,31.5,26.8,40,42,60,28,59,27,19,13,14,10,100,58,59,31,41,32
349,{21416EC2-769C-45C8-9643-767865EF7130},2019,2023,1,P,125,64,17,21,8,6,9,8,4,6,17,28,21,20,21,15,8,12,0,10,8,8,10,10,0,10,2,3,26.8,11,38,29,87,47,87,47,18,14,12,10,125,64,85,53,40,20
352,{BF30433A-BCB7-443D-A9C4-767CA6C76820},2019,2023,1,P,26,23,0,10,0,10,0,10,4,5,9,14,0,10,8,8,1,3,0,10,0,10,4,7,0,10,0,10,30.5,26,0,10,26,23,22,19,4,7,4,7,26,23,16,13,10,15
353,{FF9ACB36-15C3-4C3B-831F-7686F69D80ED},2019,2023,1,P,15,22,0,10,0,10,0,10,0,10,0,10,8,17,1,2,0,10,0,10,2,6,4,6,0,10,0,10,28.9,75.6,0,10,15,22,15,22,6,10,4,6,15,22,13,19,2,6
356,{64B2729B-A777-4917-9D20-77822FE68CFE},2019,2023,1,P,147,132,44,48,0,10,0,10,0,10,18,24,0,10,0,10,19,34,66,64,0,10,0,10,0,10,0,10,50.6,34.9,44,48,103,97,103,97,0,10,0,10,147,132,100,97,47,44
357,{3F597174-5CB5-4C16-8F4A-786886325C42},2019,2023,1,P,475,107,35,19,20,16,23,12,41,19,46,23,38,25,22,15,78,36,38,20,51,30,80,55,3,5,0,10,45.4,11.6,103,34,372,92,327,82,116,59,83,55,475,107,236,58,239,61
360,{209A76C3-F9A4-4015-987C-78C5A44BE669},2019,2023,1,P,3046,42,293,47,250,46,268,38,268,34,146,28,516,133,416,81,352,88,124,83,196,85,147,89,50,24,20,17,31,0.9,986,53,2060,52,1946,56,330,105,217,97,3046,42,1520,132,1526,142
361,{FF44E793-74FE-4F17-9EB7-78D774DF5F63},2019,2023,1,P,232,140,27,37,15,22,15,22,23,27,16,23,0,10,45,48,13,20,9,12,9,13,38,36,22,22,0,10,41.4,16.9,80,74,152,79,136,72,69,45,60,42,232,140,123,87,109,67
363,{1A6B04A0-B2D4-4ED2-9956-796E120EA73D},2019,2023,1,P,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,,,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10
366,{8DA86262-15AB-46C9-B997-7983A9FF34AB},2019,2023,1,P,202,66,30,17,14,11,20,11,17,13,20,14,32,19,23,19,14,10,16,10,3,4,13,14,0,10,0,10,26,10.7,74,35,128,39,117,37,13,14,13,14,202,66,108,37,94,38
