id,community_id,start_year,end_year,is_most_recent,geo_src,e_pop_age_total,m_pop_age_total,e_pop_age_under_5,m_pop_age_under_5,e_pop_age_5_9,m_pop_age_5_9,e_pop_age_10_14,m_pop_age_10_14,e_pop_age_15_19,m_pop_age_15_19,e_pop_age_20_24,m_pop_age_20_24,e_pop_age_25_34,m_pop_age_25_34,e_pop_age_35_44,m_pop_age_35_44,e_pop_age_45_54,m_pop_age_45_54,e_pop_age_55_59,m_pop_age_55_59,e_pop_age_60_64,m_pop_age_60_64,e_pop_age_65_74,m_pop_age_65_74,e_pop_age_75_84,m_pop_age_75_84,e_pop_age_85_plus,m_pop_age_85_plus,e_pop_age_median_age,m_pop_age_median_age,e_pop_age_under_18,m_pop_age_under_18,e_pop_age_18_plus,m_pop_age_18_plus,e_pop_age_21_plus,m_pop_age_21_plus,e_pop_age_62_plus,m_pop_age_62_plus,e_pop_age_65_plus,m_pop_age_65_plus,e_pop_total,m_pop_total,e_pop_male,m_pop_male,e_pop_female,m_pop_female
39,{BCCD0BE5-1002-4368-A664-108C425C91DD},2019,2023,1,P,1146,164,27,11,22,9,45,15,42,15,92,43,171,156,109,42,248,147,128,48,91,33,109,44,62,20,0,10,46.8,4.6,124,31,1022,159,1010,160,186,47,171,46,1146,164,683,162,463,78
42,{03C93982-6D21-4D8C-B2D5-1090F45A812A},2019,2023,1,P,700,106,81,25,59,18,113,26,54,15,63,22,106,30,42,14,61,19,27,19,36,16,32,16,14,10,12,9,23.7,1.5,289,58,411,65,381,61,74,20,58,20,700,106,407,76,293,47
43,{6B0D4814-B112-41E9-8F10-11A29507E7CA},2019,2023,1,P,147,80,0,10,25,20,0,10,0,10,0,10,0,10,0,10,0,10,42,37,17,19,63,55,0,10,0,10,63.4,13.6,25,20,122,69,122,69,80,58,63,55,147,80,107,50,40,35
46,{EC16CE1C-0D9C-429D-A6DE-133FCC9D3FF9},2019,2023,1,P,294,124,12,18,12,17,12,21,10,17,43,37,33,34,31,27,24,19,10,14,22,21,63,29,18,18,4,7,42.5,18.7,46,45,248,94,248,94,98,36,85,36,294,124,166,73,128,61
47,{67C5F12A-3F7F-4EAB-88E0-136D880F8DD0},2019,2023,1,P,461,109,60,23,46,23,41,18,33,18,52,25,58,25,38,18,37,16,31,15,30,15,14,10,14,12,7,8,24.9,3.1,168,56,293,66,268,62,53,20,35,17,461,109,209,58,252,70
50,{2AAC0BD8-1ED0-49FE-B5DA-1371DF532197},2019,2023,1,P,405,112,55,24,52,24,20,9,43,20,50,26,78,32,20,14,30,13,29,18,13,10,12,10,3,4,0,10,23.7,1.9,150,52,255,74,227,69,21,14,15,12,405,112,225,65,180,54
51,{0250F433-FD97-4CC6-8D40-1385C394201D},2019,2023,1,P,61,30,6,5,7,6,8,7,3,4,9,8,10,8,4,5,10,9,0,10,2,3,2,3,0,10,0,10,23.5,5.6,24,17,37,20,35,20,2,3,2,3,61,30,30,16,31,18
54,{3AC29D09-E0DD-4840-9E31-13F575B4BFF4},2019,2023,1,P,527,148,55,32,60,29,27,21,22,18,61,72,72,107,48,27,51,36,11,11,18,12,78,31,19,12,5,7,31.5,5,164,59,363,128,363,128,117,35,102,34,527,148,223,120,304,82
55,{7B1302D1-C2B4-402C-8C43-141B93681692},2019,2023,1,P,6313,49,555,126,569,137,445,122,430,100,500,121,1079,223,773,148,639,204,501,104,348,108,335,95,61,45,78,89,30.9,3.8,1861,225,4452,232,4230,217,678,124,474,102,6313,49,3509,354,2804,347
57,{A3641C8B-440A-4FFF-AFC3-1602263D4212},2019,2023,1,P,102,72,4,7,0,10,9,8,0,10,37,56,10,16,10,9,0,10,0,10,4,5,28,27,0,10,0,10,25.1,31.2,13,13,89,64,89,64,32,26,28,27,102,72,60,41,42,38
60,{6882E91E-F23E-4649-BC1E-168B1173F2E7},2019,2023,1,P,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,,,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10
61,{84B4826F-176E-4EF4-B844-179B36558677},2019,2023,1,P,6132,544,506,155,336,142,360,108,560,142,481,135,991,246,760,156,741,136,396,127,307,119,533,111,140,54,21,22,33,3.4,1548,295,4584,342,4284,337,911,139,694,123,6132,544,3014,318,3118,368
64,{5FBF89C8-6F1F-4610-B81F-18286B0993C8},2019,2023,1,P,31,23,2,3,0,10,2,4,5,7,0,10,1,2,5,8,0,10,4,5,6,6,6,5,0,10,0,10,55.1,35.1,6,11,25,15,22,13,12,10,6,5,31,23,12,8,19,17
65,{258C640B-3DF8-425C-8445-188CD6A6A660},2019,2023,1,P,40,37,4,5,0,10,3,5,4,6,2,5,6,8,8,8,0,10,0,10,0,10,9,11,4,6,0,10,38.3,8.9,11,15,29,25,29,25,13,12,13,12,40,37,21,17,19,22
67,{FBDAD97E-3A9C-4408-A295-197720B2C16C},2019,2023,1,S,733971,,47825,167,51775,1111,49878,1110,46494,880,50096,608,114236,796,101517,670,84268,625,44192,1517,45875,1509,65956,462,25349,532,6510,488,35.6,0.1,178458,228,555513,228,528252,908,124442,1422,97815,432,733971,,385319,512,348652,512
69,{88A2EC6A-4FB2-4D64-9FA0-19C13D5A37FB},2019,2023,1,P,22,17,0,10,0,10,0,10,1,2,1,4,1,3,11,10,0,10,0,10,0,10,7,8,1,3,0,10,43.6,10.5,0,10,22,17,20,15,8,9,8,9,22,17,9,10,13,11
71,{D7CCEBD6-7236-44C6-9E78-19F98183CFFC},2019,2023,1,P,4448,18,336,132,407,170,216,89,309,211,166,91,816,161,450,156,537,170,252,137,189,119,406,99,220,100,144,73,34.2,5,1137,180,3311,179,3178,207,834,175,770,160,4448,18,1992,162,2456,163
74,{A9A591D6-DAB0-4694-9B95-1A56A7F5914D},2019,2023,1,P,89,27,4,5,2,4,4,3,0,10,1,2,26,24,6,6,12,10,7,6,12,8,5,5,6,6,4,4,49.8,28.4,10,10,79,26,79,26,21,12,15,10,89,27,45,22,44,18
75,{587C69F7-2A28-4CEE-BA2C-1A7F7DCCBED1},2019,2023,1,P,2106,,137,30,124,38,106,27,103,31,121,53,290,57,187,49,256,58,132,47,147,48,288,55,193,40,22,17,44.3,4.5,433,64,1673,64,1620,68,590,77,503,75,2106,,1083,76,1023,76
76,{587C69F7-2A28-4CEE-BA2C-1A7F7DCCBED1},2019,2023,1,C,2106,,137,30,124,38,106,27,103,31,121,53,290,57,187,49,256,58,132,47,147,48,288,55,193,40,22,17,44.3,4.5,433,64,1673,64,1620,68,590,77,503,75,2106,,1083,76,1023,76
80,{16F1264E-DF67-4828-9E72-1AB821AB3F99},2019,2023,1,P,595,210,56,26,72,46,88,47,63,40,26,18,58,32,85,45,62,33,30,16,24,12,18,17,13,9,0,10,22.2,8.7,261,119,334,101,316,91,43,20,31,17,595,210,298,112,297,104
81,{C20E1D6B-1DBC-4F69-B3F3-1AEC09EDDD83},2019,2023,1,P,2291,262,65,31,117,37,133,52,104,41,63,36,173,55,284,68,354,135,198,57,195,52,397,78,168,45,40,19,51.4,1.6,391,99,1900,220,1866,211,701,93,605,86,2291,262,1254,152,1037,134
83,{9A5F6C32-F2B9-425E-86F6-1C856BB6FFA8},2019,2023,1,P,79,89,0,10,0,10,0,10,5,11,0,10,49,82,0,10,0,10,0,10,19,27,0,10,6,11,0,10,26.5,49.4,0,10,79,89,74,86,25,28,6,11,79,89,48,53,31,39
85,{B5ACCECA-F853-4F79-AD96-1CCA33463183},2019,2023,1,C,95555,,6778,76,6735,583,6085,589,5652,522,9098,470,17015,399,12799,349,9776,378,4923,558,5009,546,8024,214,3024,247,637,209,32.4,0.3,22878,,72677,,68651,854,14682,559,11685,222,95555,,51899,310,43656,310
88,{3D32B916-2AAC-4B36-A357-1CCB20E08A73},2019,2023,1,C,3394,,154,34,181,33,218,51,168,54,207,144,322,85,420,98,415,92,295,76,268,64,491,83,212,69,43,23,45.7,3.4,652,89,2742,89,2613,109,942,117,746,103,3394,,1696,122,1698,122
89,{3D00FF95-7311-402B-9DD4-1CE3321F245E},2019,2023,1,C,59843,,3385,73,3645,327,3957,341,3584,81,2820,129,7697,187,7486,132,7050,127,3759,368,4882,361,7728,68,2906,187,944,182,41.5,0.5,13289,36,46554,36,44709,168,14290,314,11578,66,59843,,31250,107,28593,107
92,{98D5F010-433A-452A-8E40-1DC756B3B809},2019,2023,1,P,103,63,9,9,13,13,14,13,0,10,0,10,33,38,23,19,2,6,5,8,0,10,4,7,0,10,0,10,29.9,6.5,36,26,67,47,67,47,4,7,4,7,103,63,57,40,46,29
93,{BC2CDE0E-83BC-4AC5-8095-1EB202D71049},2019,2023,1,P,16,24,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,16,24,0,10,0,10,,,0,10,16,24,16,24,16,24,16,24,16,24,8,12,8,12
95,{CD260976-029D-40A9-8CC4-1ECF3F63EEFC},2019,2023,1,P,2663,531,304,134,367,157,235,118,70,51,149,126,679,206,430,208,110,47,70,43,43,40,163,64,32,39,11,13,29.2,1.6,967,283,1696,323,1673,318,216,71,206,69,2663,531,1550,365,1113,254
