communities_fips_code,house_district,senate_district,election_region
0213860,5,C,1
0241210,5,C,1
0285680,5,C,1
0209710,25,M,5
0240670,25,M,5
0243260,25,M,5
0258660,25,M,5
0209657,29,O,5
0213340,29,O,5
0225550,29,O,5
0228590,29,O,5
0242805,29,O,5
0274525,29,O,5
0282200,29,O,5
0223720,29,O,5
0225000,29,O,5
0236400,3,B,1
0238420,6,C,1
0271640,6,C,1
0268560,8,D,5
0271640,8,D,5
0238420,8,D,5
0203000,10,E,2
0203000,11,F,2
0203000,12,F,2
0203000,13,G,2
0203000,14,G,2
0203000,15,H,2
0203000,16,H,2
0203000,18,I,2
0203000,19,J,2
0203000,20,J,2
0203000,21,K,2
0203000,22,K,2
0258660,26,M,5
0283080,26,M,5
0233800,27,N,5
0283080,28,N,5
0258660,28,N,5
0258660,29,O,5
0283080,29,O,5
0283080,30,O,5
0224230,32,P,3
0255910,32,P,3
0224230,33,Q,3
0224230,34,Q,3
0255910,34,Q,3
0224230,35,R,3
0224230,36,R,3
0220716,37,S,4
0249200,5,C,1
0255745,29,O,5
0203000,23,L,2
0203000,9,E,2
0203000,24,L,2
0255745,28,N,5
