community_fips_code,e_per_capita_income,m_per_capita_income,e_pop_below_poverty,m_pop_below_poverty,e_pop_of_poverty_det,m_pop_of_poverty_det,start_year,end_year
0200065,31242,9803,,,,,2007,2011
0200065,30085,7973,11,14,127,54,2008,2012
0200065,34871,10795,17,18,108,42,2009,2013
0200065,28112,8695,30,20,114,37,2010,2014
0200065,22983,6061,48,28,122,38,2011,2015
0200065,24629,8367,45,35,122,44,2012,2016
0200065,21055,9770,52,43,130,49,2013,2017
0200065,28529,9485,54,37,203,53,2014,2018
0200065,35193,9688,37,22,226,68,2015,2019
0200065,31451,10224,61,42,188,64,2016,2020
0200065,56146,13869,20,17,190,68,2017,2021
0200065,57458,14111,21,15,248,84,2018,2022
0200065,51494,15784,15,27,141,59,2019,2023
0200650,7890,2758,,,,,2007,2011
0200650,9044,2609,31,23,151,92,2008,2012
0200650,8012,2501,41,28,167,107,2009,2013
0200650,12952,7155,32,24,103,49,2010,2014
0200650,10237,5899,34,24,84,44,2011,2015
0200650,8428,4009,22,21,74,37,2012,2016
0200650,9766,3995,11,9,53,24,2013,2017
0200650,11221,5000,6,10,57,31,2014,2018
0200650,17541,9096,7,10,59,39,2015,2019
0200650,11623,5294,7,10,164,70,2016,2020
0200650,15139,8349,10,12,114,60,2017,2021
0200650,13593,8800,4,5,98,64,2018,2022
0200650,19578,12741,6,8,117,72,2019,2023
0200760,13074,2444,,,,,2007,2011
0200760,13224,1976,154,56,638,103,2008,2012
0200760,13859,1882,145,51,606,81,2009,2013
0200760,14076,2341,138,38,586,75,2010,2014
0200760,11505,2197,146,32,559,51,2011,2015
0200760,12245,1700,174,34,581,53,2012,2016
0200760,11095,1747,209,43,602,67,2013,2017
0200760,11568,1506,206,42,560,61,2014,2018
0200760,11068,1444,209,49,567,65,2015,2019
0200760,11003,1743,179,53,455,72,2016,2020
0200760,10268,1607,178,71,462,99,2017,2021
0200760,11245,2314,158,72,415,98,2018,2022
0200760,10690,1919,262,98,629,132,2019,2023
0200870,13469,3171,,,,,2007,2011
0200870,12501,2494,101,54,364,68,2008,2012
0200870,11608,1892,113,50,392,65,2009,2013
0200870,11690,1962,92,45,407,50,2010,2014
0200870,11188,1587,125,40,399,51,2011,2015
0200870,9937,1473,158,43,407,53,2012,2016
0200870,10510,2084,139,39,397,69,2013,2017
0200870,10359,1555,137,39,416,53,2014,2018
0200870,11852,2351,131,43,381,59,2015,2019
0200870,11997,3004,91,42,298,67,2016,2020
0200870,12546,3362,82,54,293,80,2017,2021
0200870,15638,2919,74,49,298,87,2018,2022
0200870,17344,3970,87,61,273,87,2019,2023
0201090,25384,6884,,,,,2007,2011
0201090,24680,3872,128,112,932,284,2008,2012
0201090,25370,3732,142,107,932,254,2009,2013
0201090,26513,3902,128,91,879,216,2010,2014
0201090,26313,3752,145,79,899,204,2011,2015
0201090,28335,3387,130,72,782,181,2012,2016
0201090,26978,3952,152,105,801,294,2013,2017
0201090,31040,4913,135,90,758,254,2014,2018
0201090,32871,5520,119,82,731,230,2015,2019
0201090,34274,5759,133,84,760,232,2016,2020
0201090,34515,5515,157,72,700,186,2017,2021
0201090,45054,21144,184,72,911,281,2018,2022
0201090,54099,22273,128,77,737,215,2019,2023
0201200,14141,2273,,,,,2007,2011
0201200,11868,2211,192,41,570,76,2008,2012
0201200,10063,1426,257,49,669,71,2009,2013
0201200,8754,1134,321,66,728,71,2010,2014
0201200,8293,1097,344,60,771,62,2011,2015
0201200,8217,1015,318,65,730,69,2012,2016
0201200,9521,1314,323,60,729,60,2013,2017
0201200,10112,1239,330,64,835,77,2014,2018
0201200,9812,1649,346,75,812,95,2015,2019
0201200,10386,1829,463,124,1063,179,2016,2020
0201200,10613,2083,456,127,1065,187,2017,2021
0201200,10905,2280,447,155,1138,233,2018,2022
0201200,11599,2221,394,144,988,215,2019,2023
0201305,,,,,,,2007,2011
0201305,,,0,10,1,2,2008,2012
0201305,,,0,9,1,2,2009,2013
0201305,,,0,9,2,3,2010,2014
0201305,,,0,9,1,2,2011,2015
0201305,,,0,9,1,3,2012,2016
0201305,,,0,9,0,9,2013,2017
0201305,,,0,9,4,5,2014,2018
0201305,25908,3578,0,9,13,9,2015,2019
0201305,18123,5178,4,5,30,18,2016,2020
0201305,18910,4301,5,6,41,22,2017,2021
0201305,22286,5325,2,4,36,21,2018,2022
0201305,34600,8524,1,3,22,17,2019,2023
0201390,,,,,,,2007,2011
0201390,,,0,10,27,39,2008,2012
0201390,,,0,9,28,39,2009,2013
0201390,,,0,9,0,9,2010,2014
0201390,16576,10828,0,9,51,58,2011,2015
0201390,27697,12436,0,9,36,39,2012,2016
0201390,20515,13907,0,9,65,82,2013,2017
0201390,14976,6735,0,9,177,102,2014,2018
0201390,15788,8044,0,9,176,104,2015,2019
0201390,11821,9512,0,10,121,114,2016,2020
0201390,10966,7591,0,10,170,119,2017,2021
0201390,9290,6987,0,10,178,132,2018,2022
0201390,69200,55037,0,10,5,2,2019,2023
0201420,18230,5199,,,,,2007,2011
0201420,18256,3417,27,20,208,65,2008,2012
0201420,19200,3707,11,10,208,70,2009,2013
0201420,19935,3874,18,9,231,64,2010,2014
0201420,20403,3500,23,16,199,36,2011,2015
0201420,21436,3727,27,13,189,37,2012,2016
0201420,23108,3771,25,15,190,34,2013,2017
0201420,20956,4379,44,22,204,39,2014,2018
0201420,23732,5225,30,19,179,39,2015,2019
0201420,23125,5521,24,18,133,44,2016,2020
0201420,22622,7871,26,18,125,37,2017,2021
0201420,27741,17556,24,16,121,41,2018,2022
0201420,32580,9398,16,10,109,33,2019,2023
0201560,,,,,,,2007,2011
0201560,,,0,10,68,101,2008,2012
0201560,,,0,9,64,97,2009,2013
0201560,,,0,9,63,87,2010,2014
0201560,,,0,9,59,81,2011,2015
0201560,,,0,9,45,58,2012,2016
0201560,,,0,9,33,43,2013,2017
0201560,,,0,9,27,38,2014,2018
0201560,,,0,9,27,39,2015,2019
0201560,,,0,10,24,36,2016,2020
0201560,,,0,10,0,10,2017,2021
0201560,,,0,10,0,10,2018,2022
0201560,,,0,10,0,10,2019,2023
0201860,15611,3939,,,,,2007,2011
0201860,11702,3206,21,16,46,18,2008,2012
0201860,12859,3536,18,14,66,20,2009,2013
0201860,16690,3570,9,8,72,17,2010,2014
0201860,17209,3929,7,5,77,32,2011,2015
0201860,18211,3765,11,6,105,22,2012,2016
0201860,15277,3550,53,23,184,35,2013,2017
0201860,13849,2910,72,25,168,29,2014,2018
0201860,11386,2957,106,34,209,46,2015,2019
0201860,16981,8735,97,31,209,55,2016,2020
0201860,14175,8748,126,45,213,64,2017,2021
0201860,15521,10942,137,60,220,79,2018,2022
0201860,18569,13648,95,55,173,77,2019,2023
0201970,14767,5004,,,,,2007,2011
0201970,13204,3662,100,67,240,89,2008,2012
0201970,13444,3291,125,61,290,71,2009,2013
0201970,15141,3132,112,53,329,71,2010,2014
0201970,17226,3236,60,30,280,39,2011,2015
0201970,15529,2706,68,27,295,39,2012,2016
0201970,15937,4150,83,29,299,40,2013,2017
0201970,18502,2882,68,25,299,74,2014,2018
0201970,18154,3250,71,38,260,89,2015,2019
0201970,17603,3256,79,31,275,97,2016,2020
0201970,16314,4107,62,25,273,108,2017,2021
0201970,16948,4351,68,29,277,108,2018,2022
0201970,16320,6841,63,30,201,57,2019,2023
0202080,18946,4671,,,,,2007,2011
0202080,18936,3551,25,16,344,79,2008,2012
0202080,18487,4113,47,28,304,67,2009,2013
0202080,19122,3879,44,20,233,59,2010,2014
0202080,18997,5152,65,53,247,85,2011,2015
0202080,16900,3525,70,40,271,92,2012,2016
0202080,16682,4037,97,69,289,102,2013,2017
0202080,17623,4263,84,61,273,90,2014,2018
0202080,17934,4647,99,77,311,107,2015,2019
0202080,21315,6870,58,28,248,80,2016,2020
0202080,20654,5413,92,50,259,84,2017,2021
0202080,19882,6700,82,51,219,80,2018,2022
0202080,24486,6745,48,38,273,88,2019,2023
0203000,35580,672,,,,,2007,2011
0203000,36145,756,22029,1692,285147,589,2008,2012
0203000,36214,513,22874,2083,288613,513,2009,2013
0203000,36508,566,24091,2125,291067,539,2010,2014
0203000,36920,758,23914,2025,292016,566,2011,2015
0203000,37864,648,23652,1787,292059,536,2012,2016
0203000,38977,714,23510,1965,290452,528,2013,2017
0203000,39839,705,26498,2203,288946,573,2014,2018
0203000,41415,817,25861,1831,286504,498,2015,2019
0203000,41127,737,25231,2291,285133,534,2016,2020
0203000,43125,760,26182,2170,286144,533,2017,2021
0203000,46554,953,27415,2611,284386,399,2018,2022
0203000,49338,1113,26226,2194,282916,11186,2019,2023
0203110,26940,3335,,,,,2007,2011
0203110,27357,2937,211,86,2067,210,2008,2012
0203110,27745,3049,240,80,2188,192,2009,2013
0203110,28242,2746,244,85,2174,213,2010,2014
0203110,28842,2800,196,67,1939,212,2011,2015
0203110,30114,2752,171,54,2014,206,2012,2016
0203110,30864,3035,186,59,2053,225,2013,2017
0203110,30212,3131,183,59,2090,206,2014,2018
0203110,30717,2904,197,76,2125,202,2015,2019
0203110,30778,2968,207,81,2243,258,2016,2020
0203110,31832,3324,287,104,2288,257,2017,2021
0203110,34845,3558,287,80,2260,238,2018,2022
0203110,38343,3214,286,74,2285,262,2019,2023
0203220,50245,12853,,,,,2007,2011
0203220,46734,8857,4,8,208,69,2008,2012
0203220,44005,12889,0,9,188,82,2009,2013
0203220,40657,8467,0,9,192,59,2010,2014
0203220,43367,6587,0,9,160,40,2011,2015
0203220,47776,8087,0,9,131,36,2012,2016
0203220,48629,9329,3,7,113,43,2013,2017
0203220,46866,11585,3,6,98,52,2014,2018
0203220,44731,8256,6,9,120,48,2015,2019
0203220,41522,10681,10,10,151,73,2016,2020
0203220,39143,8672,11,15,130,86,2017,2021
0203220,41469,9636,4,6,124,45,2018,2022
0203220,41338,9782,8,9,125,44,2019,2023
0203440,17366,5582,,,,,2007,2011
0203440,21897,4663,88,51,396,79,2008,2012
0203440,30101,16065,102,51,447,106,2009,2013
0203440,30009,20391,103,41,416,104,2010,2014
0203440,28623,16485,68,29,382,89,2011,2015
0203440,32586,17182,105,52,448,103,2012,2016
0203440,34320,16322,113,50,535,123,2013,2017
0203440,37039,14554,91,32,523,120,2014,2018
0203440,38483,15530,104,34,506,132,2015,2019
0203440,37891,14296,77,26,497,121,2016,2020
0203440,33165,17512,85,35,501,153,2017,2021
0203440,29872,10821,87,30,419,83,2018,2022
0203440,25726,9976,84,28,467,78,2019,2023
0203550,22010,3065,,,,,2007,2011
0203550,21582,3289,83,26,522,82,2008,2012
0203550,19614,2591,90,31,542,87,2009,2013
0203550,22533,2853,93,25,512,62,2010,2014
0203550,23333,3062,98,30,516,55,2011,2015
0203550,23187,2701,126,37,513,64,2012,2016
0203550,25438,6905,118,43,505,66,2013,2017
0203550,31069,8310,90,38,513,83,2014,2018
0203550,33411,9836,87,37,515,66,2015,2019
0203550,42332,14747,94,38,550,108,2016,2020
0203550,43922,15753,81,39,558,109,2017,2021
0203550,57021,29517,64,44,543,68,2018,2022
0203550,40505,7414,97,63,563,80,2019,2023
0203880,10981,3362,,,,,2007,2011
0203880,10640,3388,31,28,94,32,2008,2012
0203880,11540,4328,30,26,99,37,2009,2013
0203880,15787,3674,12,7,86,24,2010,2014
0203880,19240,5778,14,8,86,21,2011,2015
0203880,20242,6129,21,9,84,19,2012,2016
0203880,19271,4941,15,7,89,19,2013,2017
0203880,19777,4671,22,16,103,24,2014,2018
0203880,18015,4660,24,12,103,25,2015,2019
0203880,19594,4906,16,12,85,23,2016,2020
0203880,19244,4490,23,18,93,29,2017,2021
0203880,23576,5265,20,15,74,33,2018,2022
0203880,32269,11208,11,11,85,45,2019,2023
0203990,17551,3887,,,,,2007,2011
0203990,14219,3884,34,22,104,34,2008,2012
0203990,15769,3778,44,22,125,33,2009,2013
0203990,17373,5053,45,23,114,29,2010,2014
0203990,19589,8983,49,21,134,37,2011,2015
0203990,15253,4902,63,23,135,35,2012,2016
0203990,17255,5784,62,24,163,46,2013,2017
0203990,14534,5366,57,20,153,32,2014,2018
0203990,12179,3926,85,30,185,40,2015,2019
0203990,9982,3636,118,41,229,49,2016,2020
0203990,12127,3015,103,45,225,58,2017,2021
0203990,13427,4273,91,41,199,54,2018,2022
0203990,15112,7859,107,51,177,71,2019,2023
0204210,35663,9484,,,,,2007,2011
0204210,51146,21229,11,16,87,46,2008,2012
0204210,26397,11011,0,9,60,19,2009,2013
0204210,25538,7244,2,3,66,20,2010,2014
0204210,27042,7072,1,2,66,16,2011,2015
0204210,28420,12197,1,3,51,19,2012,2016
0204210,26500,8156,4,3,51,17,2013,2017
0204210,28066,8176,6,5,35,19,2014,2018
0204210,23247,9842,6,5,43,18,2015,2019
0204210,25172,15307,7,7,43,26,2016,2020
0204210,16432,16275,7,6,38,17,2017,2021
0204210,18586,20940,3,5,28,15,2018,2022
0204210,11562,15571,5,6,26,17,2019,2023
0204430,12289,3239,,,,,2007,2011
0204430,13249,2824,61,41,329,75,2008,2012
0204430,13606,3861,60,36,295,65,2009,2013
0204430,15515,3493,59,24,288,53,2010,2014
0204430,14441,2910,66,29,258,38,2011,2015
0204430,11368,2189,80,25,231,40,2012,2016
0204430,9742,1908,76,24,242,45,2013,2017
0204430,10564,2220,55,21,209,45,2014,2018
0204430,9147,2107,50,24,189,39,2015,2019
0204430,9034,1874,29,21,143,38,2016,2020
0204430,9914,2448,13,14,147,56,2017,2021
0204430,9724,5362,5,7,34,29,2018,2022
0204430,9245,4677,6,8,38,35,2019,2023
0204500,18747,3409,,,,,2007,2011
0204500,18265,3328,56,29,290,81,2008,2012
0204500,18036,3255,53,20,276,67,2009,2013
0204500,19968,3598,47,19,219,60,2010,2014
0204500,20998,4965,37,20,159,40,2011,2015
0204500,21702,6471,37,17,167,44,2012,2016
0204500,20597,3836,33,16,172,55,2013,2017
0204500,21012,4321,28,17,164,56,2014,2018
0204500,18826,4402,35,21,162,57,2015,2019
0204500,20584,4846,33,17,135,42,2016,2020
0204500,18301,4464,43,25,181,60,2017,2021
0204500,23804,5154,21,18,119,57,2018,2022
0204500,30281,9252,23,16,139,63,2019,2023
0204670,58761,56830,,,,,2007,2011
0204670,,,0,10,0,10,2008,2012
0204670,,,0,9,0,9,2009,2013
0204670,69882,73542,0,9,0,9,2010,2014
0204670,36256,57906,0,9,0,9,2011,2015
0204670,57973,66100,0,9,0,9,2012,2016
0204670,62550,68382,0,9,0,9,2013,2017
0204670,54412,83480,0,9,0,9,2014,2018
0204670,,,0,9,0,9,2015,2019
0204670,,,0,10,0,10,2016,2020
0204670,,,0,10,0,10,2017,2021
0204670,,,0,10,0,10,2018,2022
0204670,,,0,10,0,10,2019,2023
0205000,30238,2082,,,,,2007,2011
0205000,30424,2035,972,365,20442,1247,2008,2012
0205000,30576,1820,1090,365,20604,1262,2009,2013
0205000,30697,1796,1012,363,20828,1327,2010,2014
0205000,30431,1874,957,294,21035,1332,2011,2015
0205000,31932,2011,1454,869,19657,1262,2012,2016
0205000,35042,2119,1213,689,18846,1083,2013,2017
0205000,36210,2296,1492,739,18650,1012,2014,2018
0205000,36250,2724,1769,858,18753,1298,2015,2019
0205000,43143,6338,1181,517,19287,1939,2016,2020
0205000,44739,7067,911,353,19077,1578,2017,2021
0205000,47387,7941,957,339,19041,1739,2018,2022
0205000,51997,8382,730,330,18919,1530,2019,2023
0205585,22988,4166,,,,,2007,2011
0205585,26115,4942,152,55,1770,499,2008,2012
0205585,29180,5659,186,97,1754,481,2009,2013
0205585,31131,4434,252,157,2202,528,2010,2014
0205585,34259,6455,230,131,1812,469,2011,2015
0205585,37895,7788,150,86,1389,429,2012,2016
0205585,33753,6476,196,132,1512,401,2013,2017
0205585,33862,6047,175,122,1465,361,2014,2018
0205585,29881,6028,173,100,1178,302,2015,2019
0205585,30129,6260,176,112,1287,365,2016,2020
0205585,30808,5511,179,122,1524,408,2017,2021
0205585,37364,6687,121,117,1281,388,2018,2022
0205585,45252,8088,45,62,1356,477,2019,2023
0205750,13849,4551,,,,,2007,2011
0205750,14335,4547,32,19,88,38,2008,2012
0205750,13997,3606,34,18,98,36,2009,2013
0205750,18519,4773,24,16,86,30,2010,2014
0205750,16247,3528,18,9,60,15,2011,2015
0205750,18298,7365,13,12,46,18,2012,2016
0205750,16602,5122,19,9,54,16,2013,2017
0205750,16354,5070,13,9,46,23,2014,2018
0205750,13353,3510,29,18,67,30,2015,2019
0205750,16605,3564,24,17,86,26,2016,2020
0205750,17102,3902,22,20,90,34,2017,2021
0205750,18644,4643,22,21,84,40,2018,2022
0205750,20051,7191,21,27,77,40,2019,2023
0206245,,,,,,,2007,2011
0206245,61574,13656,2,3,53,59,2008,2012
0206245,13714,13987,3,4,7,5,2009,2013
0206245,12800,16807,2,3,5,5,2010,2014
0206245,16083,14562,2,3,6,5,2011,2015
0206245,16660,16158,2,3,5,5,2012,2016
0206245,,,0,9,2,3,2013,2017
0206245,,,0,9,4,5,2014,2018
0206245,,,0,9,5,5,2015,2019
0206245,,,0,10,5,6,2016,2020
0206245,,,0,10,3,5,2017,2021
0206245,,,0,10,4,4,2018,2022
0206245,,,0,10,5,6,2019,2023
0206520,29261,2645,,,,,2007,2011
0206520,30863,3152,731,256,5886,80,2008,2012
0206520,29968,3082,721,286,5916,114,2009,2013
0206520,31160,3244,736,234,5993,145,2010,2014
0206520,28758,2109,683,181,5997,149,2011,2015
0206520,29165,2579,840,256,5945,141,2012,2016
0206520,30256,2100,818,265,5965,163,2013,2017
0206520,31928,2450,806,265,6041,166,2014,2018
0206520,31337,3288,967,359,6068,173,2015,2019
0206520,34353,3820,1067,278,6228,134,2016,2020
0206520,38073,3736,803,257,5989,130,2017,2021
0206520,37790,3729,755,262,5978,113,2018,2022
0206520,40617,6063,766,301,5975,95,2019,2023
0206630,47560,7938,,,,,2007,2011
0206630,45050,8664,0,10,30,21,2008,2012
0206630,43884,12213,0,9,19,14,2009,2013
0206630,42036,18215,0,9,11,6,2010,2014
0206630,38982,7689,0,9,22,23,2011,2015
0206630,39006,6670,0,9,36,59,2012,2016
0206630,41165,3979,0,9,74,152,2013,2017
0206630,42176,10840,0,9,66,141,2014,2018
0206630,42814,2158,0,9,84,180,2015,2019
0206630,,,0,10,2,3,2016,2020
0206630,,,0,10,2,3,2017,2021
0206630,,,0,10,0,10,2018,2022
0206630,,,0,10,0,10,2019,2023
0206850,21760,5961,,,,,2007,2011
0206850,20708,4762,49,38,657,214,2008,2012
0206850,23059,4435,83,72,638,218,2009,2013
0206850,23650,5249,79,74,574,187,2010,2014
0206850,26178,6748,68,56,524,172,2011,2015
0206850,28742,7342,59,72,577,199,2012,2016
0206850,28526,9477,80,78,588,178,2013,2017
0206850,36885,13425,25,25,457,142,2014,2018
0206850,31233,10338,26,27,556,187,2015,2019
0206850,27674,8220,28,27,627,212,2016,2020
0206850,24071,8308,33,29,521,200,2017,2021
0206850,32177,10645,26,26,545,208,2018,2022
0206850,26793,8509,3,7,646,241,2019,2023
0207070,28126,4217,,,,,2007,2011
0207070,28981,4078,468,184,3595,415,2008,2012
0207070,27916,3468,452,160,3978,404,2009,2013
0207070,29687,3327,411,145,3914,365,2010,2014
0207070,30942,2736,365,144,3807,319,2011,2015
0207070,30559,2905,394,144,3544,327,2012,2016
0207070,29663,2802,463,132,3136,331,2013,2017
0207070,31088,3065,476,146,2765,228,2014,2018
0207070,29749,2747,450,101,2678,240,2015,2019
0207070,30964,4362,470,129,2769,365,2016,2020
0207070,32591,3742,553,163,2888,365,2017,2021
0207070,40697,3967,412,144,3231,363,2018,2022
0207070,41948,5040,413,150,3289,422,2019,2023
0207620,11513,3047,,,,,2007,2011
0207620,10872,3226,8,7,18,14,2008,2012
0207620,8792,3770,9,8,12,10,2009,2013
0207620,8655,3906,9,7,11,9,2010,2014
0207620,,,1,4,1,4,2011,2015
0207620,,,3,4,3,4,2012,2016
0207620,,,1,3,1,3,2013,2017
0207620,,,2,3,2,3,2014,2018
0207620,,,4,4,4,4,2015,2019
0207620,,,4,4,4,4,2016,2020
0207620,,,3,4,3,4,2017,2021
0207620,,,3,5,3,5,2018,2022
0207620,,,5,7,5,7,2019,2023
0208740,8873,2091,,,,,2007,2011
0208740,9287,1935,175,48,337,52,2008,2012
0208740,8389,1478,230,57,405,57,2009,2013
0208740,7565,1183,267,52,438,47,2010,2014
0208740,7510,1029,254,46,441,52,2011,2015
0208740,8225,1264,224,38,416,48,2012,2016
0208740,8425,1284,246,43,415,46,2013,2017
0208740,11205,3456,209,49,403,41,2014,2018
0208740,11602,3133,186,46,380,66,2015,2019
0208740,10138,2198,395,122,617,121,2016,2020
0208740,10917,2102,407,126,669,132,2017,2021
0208740,13032,2957,336,146,623,151,2018,2022
0208740,13516,3692,375,156,689,165,2019,2023
0209600,9344,1874,,,,,2007,2011
0209600,10149,1425,110,56,526,88,2008,2012
0209600,11489,1900,140,49,576,78,2009,2013
0209600,12918,1589,143,44,581,64,2010,2014
0209600,14209,2013,145,38,594,56,2011,2015
0209600,13527,1797,144,40,615,59,2012,2016
0209600,13288,1610,141,35,626,61,2013,2017
0209600,13786,2482,134,41,607,63,2014,2018
0209600,12739,1832,145,40,671,67,2015,2019
0209600,13530,2047,119,37,682,77,2016,2020
0209600,14653,2167,96,39,673,105,2017,2021
0209600,16754,2607,100,33,643,108,2018,2022
0209600,17089,3158,106,43,620,101,2019,2023
0209657,33957,7337,,,,,2007,2011
0209657,34566,7618,17,11,792,182,2008,2012
0209657,31950,6912,40,30,892,171,2009,2013
0209657,28529,5435,42,30,878,152,2010,2014
0209657,27814,3555,38,27,827,145,2011,2015
0209657,31237,5059,45,27,836,166,2012,2016
0209657,29716,4264,80,42,852,165,2013,2017
0209657,30387,5313,85,43,871,158,2014,2018
0209657,27737,3983,114,43,969,188,2015,2019
0209657,29524,4634,127,46,929,167,2016,2020
0209657,30972,5652,131,62,942,152,2017,2021
0209657,35111,5001,84,45,950,177,2018,2022
0209657,37281,5406,98,49,791,193,2019,2023
0209710,32615,3007,,,,,2007,2011
0209710,32084,3215,324,90,3433,269,2008,2012
0209710,31695,2509,317,76,3492,250,2009,2013
0209710,31171,1864,327,101,3513,279,2010,2014
0209710,30762,1949,368,99,3815,260,2011,2015
0209710,31248,2306,399,118,3869,252,2012,2016
0209710,32211,1920,300,90,3836,247,2013,2017
0209710,33178,2232,321,125,3905,247,2014,2018
0209710,33485,2841,349,110,4000,308,2015,2019
0209710,35877,3206,261,107,3878,303,2016,2020
0209710,40179,3005,195,67,3847,276,2017,2021
0209710,43498,2810,212,70,3740,259,2018,2022
0209710,43028,3294,307,134,3884,322,2019,2023
0210150,24678,4669,,,,,2007,2011
0210150,29066,6447,12,15,180,51,2008,2012
0210150,28576,5685,20,19,195,56,2009,2013
0210150,30252,5851,21,19,197,47,2010,2014
0210150,32980,6347,19,17,209,45,2011,2015
0210150,34348,5274,17,16,204,49,2012,2016
0210150,34580,8039,15,13,201,73,2013,2017
0210150,38694,10245,11,10,183,65,2014,2018
0210150,35630,8133,18,13,178,68,2015,2019
0210150,27849,5889,21,17,210,108,2016,2020
0210150,26008,4706,17,18,136,85,2017,2021
0210150,32399,6343,7,8,117,43,2018,2022
0210150,33023,6679,13,12,121,44,2019,2023
0211690,21110,6654,,,,,2007,2011
0211690,22943,6956,8,10,99,42,2008,2012
0211690,25522,6890,8,11,107,41,2009,2013
0211690,25154,10617,0,9,91,35,2010,2014
0211690,32034,10977,3,5,58,25,2011,2015
0211690,33740,14951,3,5,42,20,2012,2016
0211690,32457,16984,2,4,51,23,2013,2017
0211690,37677,19857,1,4,47,27,2014,2018
0211690,28500,10873,6,6,40,29,2015,2019
0211690,13529,12219,5,25,38,69,2016,2020
0211690,18318,8648,9,18,51,53,2017,2021
0211690,21601,8603,12,24,105,84,2018,2022
0211690,25885,6824,10,11,93,68,2019,2023
0211800,19900,10718,,,,,2007,2011
0211800,14969,8564,26,19,59,27,2008,2012
0211800,12628,5997,22,17,65,28,2009,2013
0211800,15013,5182,27,21,85,25,2010,2014
0211800,13813,4573,37,20,101,28,2011,2015
0211800,14715,4579,38,21,120,39,2012,2016
0211800,19081,7164,41,20,119,35,2013,2017
0211800,28075,21336,52,20,115,35,2014,2018
0211800,27607,20156,44,19,109,29,2015,2019
0211800,26784,17032,60,35,118,43,2016,2020
0211800,31199,23103,58,43,110,48,2017,2021
0211800,36002,34170,47,43,95,50,2018,2022
0211800,18391,11555,59,45,103,63,2019,2023
0212350,43579,23814,,,,,2007,2011
0212350,,,0,10,14,22,2008,2012
0212350,,,0,9,14,21,2009,2013
0212350,,,0,9,22,26,2010,2014
0212350,,,0,9,23,25,2011,2015
0212350,,,0,9,8,13,2012,2016
0212350,,,0,9,8,13,2013,2017
0212350,,,0,9,9,14,2014,2018
0212350,,,0,9,0,9,2015,2019
0212350,,,0,10,0,10,2016,2020
0212350,,,0,10,0,10,2017,2021
0212350,,,0,10,26,41,2018,2022
0212350,,,0,10,25,38,2019,2023
0212680,9682,2472,,,,,2007,2011
0212680,10631,1840,104,60,489,104,2008,2012
0212680,10537,2280,82,44,493,85,2009,2013
0212680,10300,1224,89,36,474,73,2010,2014
0212680,11004,1178,95,30,516,72,2011,2015
0212680,11199,942,78,26,507,54,2012,2016
0212680,10535,1013,84,28,459,54,2013,2017
0212680,10978,1754,101,28,501,69,2014,2018
0212680,10671,1318,84,37,483,74,2015,2019
0212680,10683,1696,75,37,413,72,2016,2020
0212680,9691,1981,91,58,375,98,2017,2021
0212680,12776,2101,101,56,476,84,2018,2022
0212680,14429,2661,108,52,530,96,2019,2023
0212920,38166,5418,,,,,2007,2011
0212920,43858,7758,190,184,5624,604,2008,2012
0212920,45198,11341,179,158,6252,709,2009,2013
0212920,43208,7574,274,199,5671,706,2010,2014
0212920,46243,8448,270,218,5473,588,2011,2015
0212920,47940,7738,269,196,5744,567,2012,2016
0212920,45161,4569,274,205,6155,566,2013,2017
0212920,44571,6525,340,229,5893,573,2014,2018
0212920,49697,6476,224,108,6101,672,2015,2019
0212920,50352,7701,214,127,5851,627,2016,2020
0212920,50190,6724,281,145,5604,716,2017,2021
0212920,63754,10456,331,173,5274,818,2018,2022
0212920,62239,7796,237,163,5901,750,2019,2023
0212970,25106,12493,,,,,2007,2011
0212970,16366,8728,24,24,92,55,2008,2012
0212970,13187,7784,35,43,84,57,2009,2013
0212970,14365,7214,30,30,72,43,2010,2014
0212970,13352,6736,23,21,66,44,2011,2015
0212970,10882,7271,28,29,51,37,2012,2016
0212970,20724,5212,0,9,41,33,2013,2017
0212970,24792,10023,3,6,48,37,2014,2018
0212970,26163,10468,3,4,68,48,2015,2019
0212970,25152,11185,3,6,48,26,2016,2020
0212970,26618,10742,4,6,55,29,2017,2021
0212970,31955,13803,3,5,58,30,2018,2022
0212970,33441,15163,0,10,54,47,2019,2023
0213230,7937,1029,,,,,2007,2011
0213230,8707,1118,388,100,944,120,2008,2012
0213230,9888,1403,379,78,1062,124,2009,2013
0213230,10900,1157,331,76,984,100,2010,2014
0213230,11738,1909,354,69,1079,102,2011,2015
0213230,12258,2027,386,74,1192,125,2012,2016
0213230,13690,2329,408,64,1266,153,2013,2017
0213230,20292,14240,388,77,1140,160,2014,2018
0213230,25645,29021,359,79,1034,230,2015,2019
0213230,32298,37341,223,74,814,228,2016,2020
0213230,47402,55694,206,88,769,305,2017,2021
0213230,75144,85170,121,75,426,320,2018,2022
0213230,22264,9468,168,75,454,153,2019,2023
0213340,30498,5867,,,,,2007,2011
0213340,32184,5850,16,14,210,76,2008,2012
0213340,30560,5194,32,24,238,73,2009,2013
0213340,30017,4504,35,25,234,73,2010,2014
0213340,30397,4443,38,23,281,69,2011,2015
0213340,29843,5982,44,28,255,64,2012,2016
0213340,33143,6685,38,27,242,65,2013,2017
