community_fips_code,year,month,monthly_hdd_sum
0200760,2021,9,617
0200760,2021,10,1022
0200760,2021,11,1839
0200760,2021,12,1429
0200760,2022,1,1801
0200760,2022,2,1401
0200760,2022,3,1341
0200760,2022,4,988
0200760,2022,5,634
0200760,2022,6,243
0200760,2022,7,301
0200760,2022,8,381
0200760,2022,9,536
0200760,2022,10,971
0200760,2022,11,1269
0200760,2022,12,1562
0200760,2023,1,1620
0200760,2023,2,1522
0200760,2023,3,1434
0200760,2023,4,1392
0200760,2023,5,746
0200760,2023,6,386
0200760,2023,7,305
0200760,2023,8,329
0200760,2023,9,603
0200760,2023,10,979
0200760,2023,11,1182
0200760,2023,12,1785
0200760,2024,1,1625
0200760,2024,2,1361
0200760,2024,3,1535
0200760,2024,4,1081
0200760,2024,5,794
0200760,2024,6,319
0200760,2024,7,344
0200760,2024,8,432
0200760,2024,9,589
0200760,2024,10,979
0200760,2024,11,1356
0200760,2024,12,1345
0200870,2017,1,1730
0200870,2017,2,1655
0200870,2017,3,1786
0200870,2017,4,855
0200870,2017,5,607
0200870,2017,6,278
0200870,2017,7,208
0200870,2017,8,336
0200870,2017,9,567
0200870,2017,10,874
0200870,2017,11,1193
0200870,2017,12,1237
0200870,2018,1,1627
0200870,2018,2,1182
0200870,2018,3,1297
0200870,2018,4,936
0200870,2018,5,686
0200870,2018,6,322
0200870,2018,7,233
0200870,2018,8,357
0200870,2018,9,414
0200870,2018,10,726
0200870,2018,11,1186
0200870,2018,12,1691
0200870,2019,1,1521
0200870,2019,2,1026
0200870,2019,3,1040
0200870,2019,4,987
0200870,2019,5,575
0200870,2019,6,229
0200870,2019,7,162
0200870,2019,8,255
0200870,2019,9,480
0200870,2019,10,888
0200870,2019,11,1235
0200870,2019,12,1698
0200870,2020,1,2093
0200870,2020,2,1665
0200870,2020,3,1514
0200870,2020,4,965
0200870,2020,5,522
0200870,2020,6,344
0200870,2020,7,267
0200870,2020,8,284
0200870,2020,9,569
0200870,2020,10,877
0200870,2020,11,1200
0200870,2020,12,1498
0200870,2021,1,1612
0200870,2021,2,1499
0200870,2021,3,1568
0200870,2021,4,1108
0200870,2021,5,612
0200870,2021,6,392
0200870,2021,7,324
0200870,2021,8,382
0200870,2021,9,617
0200870,2021,10,1022
0200870,2021,11,1840
0200870,2021,12,1433
0200870,2022,1,1794
0200870,2022,2,1397
0200870,2022,3,1338
0200870,2022,4,985
0200870,2022,5,631
0200870,2022,6,242
0200870,2022,7,300
0200870,2022,8,381
0200870,2022,9,537
0200870,2022,10,969
0200870,2022,11,1272
0200870,2022,12,1562
0200870,2023,1,1612
0200870,2023,2,1523
0200870,2023,3,1434
