reporting_entity_id,year,residential_rate,commercial_rate,industrial_rate
1,2011,0.12,0.10,0.09
1,2012,0.12,0.10,0.09
1,2013,0.13,0.11,0.10
1,2014,0.12,0.10,0.09
1,2015,0.12,0.10,0.09
1,2016,0.12,0.10,0.10
1,2017,0.12,0.10,0.12
1,2018,0.13,0.11,
1,2019,0.14,0.12,0.12
1,2020,0.13,0.10,0.12
1,2021,0.12,0.10,0.11
2,2011,0.13,0.10,
2,2012,0.12,0.09,
2,2013,0.13,0.10,
2,2014,0.16,0.13,
2,2015,0.17,0.14,
2,2016,0.17,0.14,
2,2017,0.21,0.17,
2,2018,0.20,0.15,
2,2019,0.23,0.16,
2,2020,0.21,0.16,
3,2011,0.14,0.12,0.11
3,2012,0.14,0.12,0.11
3,2013,0.15,0.12,0.11
3,2014,0.16,0.13,0.12
3,2015,0.17,0.14,0.12
3,2016,0.18,0.15,0.13
3,2017,0.20,0.16,0.15
3,2018,0.20,0.16,0.14
3,2019,0.21,0.17,0.15
3,2020,0.21,0.17,0.15
3,2021,0.21,0.16,0.14
4,2011,0.22,0.21,0.17
4,2012,0.24,0.23,0.19
4,2013,0.23,0.21,0.17
4,2014,0.23,0.21,0.17
4,2015,0.21,0.19,0.15
4,2016,0.23,0.21,0.16
4,2017,0.24,0.22,0.17
4,2018,0.25,0.24,0.18
4,2019,0.26,0.25,0.18
4,2020,0.25,0.24,0.17
4,2021,0.27,0.26,0.18
5,2011,0.20,0.18,0.08
5,2012,0.20,0.18,0.09
5,2013,0.21,0.18,0.08
5,2014,0.24,0.21,0.10
5,2015,0.25,0.22,0.11
5,2016,0.26,0.23,0.11
5,2017,0.26,0.23,0.11
5,2018,0.27,0.23,0.11
5,2019,0.27,0.23,0.11
5,2020,0.29,0.26,0.12
5,2021,0.28,0.25,0.12
6,2011,0.10,0.10,0.08
6,2012,0.10,0.10,0.08
6,2013,0.10,0.10,0.08
6,2014,0.10,0.10,0.08
6,2015,0.10,0.10,0.09
6,2016,0.11,0.10,0.09
6,2017,0.11,0.10,0.09
6,2018,0.11,0.10,0.09
6,2019,0.11,0.11,0.09
6,2020,0.12,0.11,0.10
6,2021,0.12,0.11,0.10
7,2011,0.19,0.18,0.17
7,2012,0.19,0.18,0.17
7,2013,0.18,0.17,0.16
7,2014,0.17,0.16,0.15
7,2015,0.17,0.17,0.16
7,2016,0.17,0.17,0.16
7,2017,0.17,0.17,0.16
7,2018,0.17,0.17,0.16
7,2019,0.17,0.17,0.16
7,2020,0.18,0.17,0.16
7,2021,0.18,0.17,0.15
8,2011,0.15,0.13,
8,2012,0.15,0.13,
8,2013,0.15,0.13,
8,2014,0.17,0.14,
8,2015,0.20,0.17,
8,2016,0.20,0.17,
8,2017,0.21,0.18,
8,2018,0.21,0.18,
8,2019,0.22,0.19,
8,2020,0.22,0.19,
8,2021,0.21,0.19,
9,2011,,0.60,
10,2011,,0.20,
10,2012,,0.17,
10,2013,,0.18,
10,2014,,0.20,
10,2015,,0.24,
10,2016,,0.22,
10,2017,,0.23,
10,2018,,0.22,
10,2019,,0.22,
10,2020,,0.22,
10,2021,,0.22,
11,2011,0.28,0.81,
11,2012,0.34,1.06,
11,2013,0.42,1.19,
11,2014,0.65,1.44,
11,2015,0.62,1.25,
11,2016,0.56,1.22,
11,2017,0.59,1.07,
11,2018,0.64,1.37,
11,2019,0.60,1.37,
11,2020,0.66,1.42,
11,2021,0.51,1.27,
12,2013,0.04,0.11,
12,2014,0.15,0.45,
12,2015,0.13,0.45,
12,2016,0.39,0.80,
12,2017,0.43,0.80,
12,2018,0.44,0.80,
12,2019,0.47,0.80,
12,2020,0.45,0.80,
12,2021,0.44,0.80,
13,2011,0.22,0.61,
13,2012,0.22,0.60,
13,2013,0.23,0.60,
13,2014,0.23,0.60,
13,2015,0.26,0.61,
13,2016,0.31,0.61,
13,2017,0.34,0.60,
13,2018,0.35,0.61,
13,2019,0.34,0.60,
13,2020,0.36,0.62,
13,2021,0.38,0.62,
14,2011,0.30,0.63,
14,2012,0.26,0.63,
14,2013,0.23,0.63,
14,2014,0.23,0.66,
14,2015,0.35,0.66,
14,2016,0.39,0.63,
14,2017,0.35,0.56,
14,2018,0.26,0.53,
14,2019,0.27,0.53,
14,2020,0.29,0.53,
14,2021,0.30,0.53,
15,2011,0.14,0.32,
15,2012,0.14,0.32,
15,2013,0.14,0.32,
15,2014,0.14,0.32,
15,2015,0.16,0.32,
15,2016,0.16,0.48,
15,2017,0.17,0.95,
15,2018,0.18,0.95,
15,2019,0.19,0.95,
15,2020,0.20,0.95,
15,2021,0.20,0.95,
16,2011,0.21,0.59,
16,2012,0.22,0.63,
16,2013,0.21,0.62,
16,2014,0.21,0.62,
16,2015,0.22,0.61,
16,2016,0.22,0.57,
16,2016,0.22,0.56,
16,2017,0.23,0.47,
16,2018,0.25,0.51,
16,2019,0.25,0.53,
16,2020,0.26,0.53,
16,2021,0.27,0.51,
17,2011,0.20,0.86,
17,2012,0.25,0.96,
17,2013,0.23,0.86,
17,2014,0.25,0.89,
17,2015,0.31,0.89,
17,2016,0.32,0.78,
17,2017,0.32,0.77,
17,2018,0.32,0.89,
17,2019,0.32,0.88,
17,2020,0.33,0.81,
17,2021,0.37,0.88,
18,2011,0.22,0.63,
18,2012,0.22,0.67,
18,2013,0.21,0.66,
18,2014,0.21,0.77,
18,2015,0.22,0.68,
18,2016,0.22,0.64,
18,2017,0.22,0.53,
18,2018,0.24,0.56,
18,2019,0.24,0.62,
18,2020,0.26,0.66,
18,2021,0.26,0.64,
19,2011,0.14,0.15,
19,2012,0.14,0.15,
19,2013,0.14,0.15,
19,2014,0.15,0.15,
19,2015,0.15,0.15,
19,2016,0.15,0.15,
19,2017,0.16,0.18,
19,2018,0.16,0.16,
19,2019,0.18,0.18,
19,2020,0.18,0.18,
19,2021,0.15,0.15,
20,2011,0.23,0.63,
20,2012,0.22,0.63,
20,2013,0.22,0.65,
20,2014,0.22,0.62,
20,2015,0.23,0.57,
20,2016,0.23,0.49,
20,2017,0.24,0.53,
20,2018,0.26,0.59,
20,2019,0.27,0.62,
20,2020,0.28,0.57,
20,2021,0.29,0.63,
21,2011,0.28,0.72,
21,2012,0.28,0.76,
21,2013,0.27,0.76,
21,2014,0.28,0.71,
21,2015,0.28,0.72,
21,2016,0.27,0.58,
21,2017,0.28,0.58,
21,2018,0.30,0.63,
21,2019,0.76,1.08,
21,2020,0.31,0.58,
21,2021,0.34,0.70,
22,2011,0.21,0.59,
22,2012,0.22,0.65,
22,2013,0.21,0.65,
22,2014,0.21,0.65,
22,2015,0.22,0.66,
22,2016,0.22,0.52,
22,2017,0.22,,
22,2018,0.24,,
22,2019,0.24,,
22,2020,0.26,,
22,2021,0.26,,
23,2013,0.32,0.68,
23,2014,0.43,0.93,
23,2015,0.54,1.00,
23,2016,0.30,1.00,
23,2017,0.21,1.00,
23,2018,0.23,1.00,
23,2019,0.23,1.00,
23,2020,0.24,1.00,
23,2021,0.27,1.00,
24,2011,0.20,0.70,
24,2012,0.19,0.76,
24,2013,0.16,0.74,
24,2014,0.27,0.73,
24,2015,0.32,0.73,
24,2016,0.32,0.71,
24,2017,0.41,0.67,
24,2018,0.40,0.63,
24,2019,0.40,0.63,
24,2020,0.41,0.63,
24,2021,0.41,0.63,
25,2011,0.34,0.70,
25,2012,0.42,0.80,
25,2013,0.44,0.80,
25,2014,0.47,0.80,
25,2015,0.50,0.80,
25,2016,0.53,0.80,
25,2017,0.45,0.70,
25,2018,0.33,0.70,
25,2019,0.25,0.68,
25,2020,0.22,0.66,
25,2021,0.23,0.66,
26,2011,0.14,0.15,
26,2012,0.14,0.15,
26,2013,0.14,0.15,
26,2014,0.15,0.15,
26,2015,0.16,0.16,
26,2016,0.15,0.15,
26,2017,0.21,0.21,
26,2018,0.22,0.22,
26,2019,0.25,0.25,
