community_fips_code,tax_year,total_tax_rev_usd,total_sales_tax_rev_usd,property_tax_rev_usd,total_rev_for_special_taxes_usd,did_community_report,is_most_recent,as_of_date
0217740,2017,2148826,1529061,619765,,t,f,2018-01-01
0266470,2017,2037661,344276,,1693385,t,f,2018-01-01
0239410,2017,1707780,758638,,949142,t,f,2018-01-01
0286490,2017,1588575,1027371,367978,193226,t,f,2018-01-01
0233360,2017,1418802,1418802,,,t,f,2018-01-01
0267020,2017,1330031,730258,,599773,t,f,2018-01-01
0284510,2017,1326401,570361,363897,392143,t,f,2018-01-01
0240400,2017,675673,661952,,13721,t,f,2018-01-01
0260640,2017,642583,642583,,,t,f,2018-01-01
0233800,2017,598374,198165,385539,14670,t,f,2018-01-01
0268340,2017,498179,243479,254700,,t,f,2018-01-01
0200065,2017,450335,322433,,127902,t,f,2018-01-01
0230940,2017,442735,357448,,85287,t,f,2018-01-01
0277140,2017,428554,417606,,10948,t,f,2018-01-01
0280660,2017,393168,393168,,,t,f,2018-01-01
0253050,2017,382958,179368,197356,6234,t,f,2018-01-01
0281920,2017,362095,,,362095,t,f,2018-01-01
0233470,2017,328282,310899,,17383,t,f,2018-01-01
0222910,2017,257655,257655,,,t,f,2018-01-01
0201420,2017,245140,105931,,139209,t,f,2018-01-01
0227530,2017,240000,240000,,,t,f,2018-01-01
0256320,2017,208344,,,208344,t,f,2018-01-01
0264600,2017,178855,178696,,159,t,f,2018-01-01
0236770,2017,171367,166234,,5133,t,f,2018-01-01
0266140,2017,169077,129602,,39475,t,f,2018-01-01
0261630,2017,163410,163410,,,t,f,2018-01-01
0226760,2017,154342,154342,,,t,f,2018-01-01
0277690,2017,154177,121579,,32598,t,f,2018-01-01
0268230,2017,153934,153934,,,t,f,2018-01-01
0201200,2017,146535,146535,,,t,f,2018-01-01
0246890,2017,137647,137647,,,t,f,2018-01-01
0267680,2017,132868,132868,,,t,f,2018-01-01
0259650,2017,132608,44236,73854,14518,t,f,2018-01-01
0251180,2017,129147,129147,,,t,f,2018-01-01
0224660,2017,122983,30077,,92906,t,f,2018-01-01
0266360,2017,118109,118109,,,t,f,2018-01-01
0255140,2017,116043,116043,,,t,f,2018-01-01
0213230,2017,113669,113669,,,t,f,2018-01-01
0267570,2017,107556,107556,,,t,f,2018-01-01
0260750,2017,107154,107154,,,t,f,2018-01-01
0227640,2017,100316,100316,,,t,f,2018-01-01
0209600,2017,99802,99802,,,t,f,2018-01-01
0247000,2017,95513,95513,,,t,f,2018-01-01
0241720,2017,92782,92782,,,t,f,2018-01-01
0267460,2017,90000,90000,,,t,f,2018-01-01
0203550,2017,84429,52259,,32170,t,f,2018-01-01
0252390,2017,82439,82439,,,t,f,2018-01-01
0216530,2017,75875,,,75875,t,f,2018-01-01
0269770,2017,74744,74744,,,t,f,2018-01-01
0222250,2017,74029,74029,,,t,f,2018-01-01
0265700,2017,72496,72496,,,t,f,2018-01-01
0268890,2017,70710,70710,,,t,f,2018-01-01
0272960,2017,68492,68492,,,t,f,2018-01-01
0236540,2017,68238,,68238,,t,f,2018-01-01
0203440,2017,60383,54036,,6347,t,f,2018-01-01
0213550,2017,55453,,,55453,t,f,2018-01-01
0204210,2017,51444,,,51444,t,f,2018-01-01
0256680,2017,49678,45709,,3969,t,f,2018-01-01
0208740,2017,48201,48201,,,t,f,2018-01-01
0241940,2017,44847,44847,,,t,f,2018-01-01
0212680,2017,44588,44588,,,t,f,2018-01-01
0234460,2017,41331,41331,,,t,f,2018-01-01
0243040,2017,39296,14344,,24952,t,f,2018-01-01
0239960,2017,37243,37243,,,t,f,2018-01-01
0282860,2017,33176,33176,,,t,f,2018-01-01
0221040,2017,31000,31000,,,t,f,2018-01-01
0201970,2017,30887,30887,,,t,f,2018-01-01
0218510,2017,29344,29344,,,t,f,2018-01-01
0278240,2017,28284,28284,,,t,f,2018-01-01
0257340,2017,27980,24275,,3705,t,f,2018-01-01
0275930,2017,26267,26267,,,t,f,2018-01-01
0247990,2017,26152,16483,,9669,t,f,2018-01-01
0275160,2017,25510,25510,,,t,f,2018-01-01
0270100,2017,25496,25496,,,t,f,2018-01-01
0239300,2017,25058,25058,,,t,f,2018-01-01
0203220,2017,23401,,,23401,t,f,2018-01-01
0252720,2017,19280,19280,,,t,f,2018-01-01
0262510,2017,19081,17173,,1908,t,f,2018-01-01
0236990,2017,17843,,,17843,t,f,2018-01-01
0256600,2017,17836,17836,,,t,f,2018-01-01
0242380,2017,17270,17270,,,t,f,2018-01-01
0246010,2017,16682,,,16682,t,f,2018-01-01
0276260,2017,13177,11632,,1545,t,f,2018-01-01
0219060,2017,13047,13047,,,t,f,2018-01-01
0284070,2017,12549,12549,,,t,f,2018-01-01
0263610,2017,5912,,,5912,t,f,2018-01-01
0240840,2017,5887,5887,,,t,f,2018-01-01
0258550,2017,5594,5594,,,t,f,2018-01-01
0206630,2017,4283,,,4283,t,f,2018-01-01
0202080,2017,2340,,,2340,t,f,2018-01-01
0253930,2017,769,769,,,t,f,2018-01-01
0255030,2017,272,272,,,t,f,2018-01-01
