grid_id,net_generation_mwh,fuel_type_code,fuel_type_name,year
146,78,DFO,Distillate Fuel Oil,2021
147,295,DFO,Distillate Fuel Oil,2021
148,136,DFO,Distillate Fuel Oil,2021
149,1634,DFO,Distillate Fuel Oil,2021
149,16,WND,Wind,2021
150,24329,DFO,Distillate Fuel Oil,2021
153,1129,DFO,Distillate Fuel Oil,2021
154,1184,DFO,Distillate Fuel Oil,2021
156,304,DFO,Distillate Fuel Oil,2021
157,691,DFO,Distillate Fuel Oil,2021
158,433,DFO,Distillate Fuel Oil,2021
159,30209,DFO,Distillate Fuel Oil,2021
159,2026,WND,Wind,2021
160,4260,DFO,Distillate Fuel Oil,2021
161,2161,DFO,Distillate Fuel Oil,2021
162,4656,DFO,Distillate Fuel Oil,2021
163,4665,NG,Natural Gas,2021
163,2664,DFO,Distillate Fuel Oil,2021
164,6468,DFO,Distillate Fuel Oil,2021
165,3386,DFO,Distillate Fuel Oil,2021
166,7343,DFO,Distillate Fuel Oil,2021
167,869,DFO,Distillate Fuel Oil,2021
169,19100,DFO,Distillate Fuel Oil,2021
170,668,DFO,Distillate Fuel Oil,2021
171,209,DFO,Distillate Fuel Oil,2021
172,881,WAT,Water at Hydroelectric Turbine,2021
172,420,DFO,Distillate Fuel Oil,2021
173,462,DFO,Distillate Fuel Oil,2021
175,622,DFO,Distillate Fuel Oil,2021
176,817,DFO,Distillate Fuel Oil,2021
176,632,WND,Wind,2021
177,123,DFO,Distillate Fuel Oil,2021
178,680,DFO,Distillate Fuel Oil,2021
179,479,DFO,Distillate Fuel Oil,2021
180,3305,DFO,Distillate Fuel Oil,2021
182,61,DFO,Distillate Fuel Oil,2021
183,934,DFO,Distillate Fuel Oil,2021
184,1249,DFO,Distillate Fuel Oil,2021
185,427,DFO,Distillate Fuel Oil,2021
186,1846,DFO,Distillate Fuel Oil,2021
187,3596,DFO,Distillate Fuel Oil,2021
187,134,WND,Wind,2021
188,599,DFO,Distillate Fuel Oil,2021
189,415,DFO,Distillate Fuel Oil,2021
191,1217,DFO,Distillate Fuel Oil,2021
191,47,WND,Wind,2021
193,95,DFO,Distillate Fuel Oil,2021
194,3556,DFO,Distillate Fuel Oil,2021
194,682,WND,Wind,2021
195,92227,DFO,Distillate Fuel Oil,2021
196,281,DFO,Distillate Fuel Oil,2021
197,345,DFO,Distillate Fuel Oil,2021
198,892,DFO,Distillate Fuel Oil,2021
213,485,DFO,Distillate Fuel Oil,2021
215,2984081,NG,Natural Gas,2021
215,567393,WAT,Water at Hydroelectric Turbine,2021
215,386453,SUB,Subbituminous Coal,2021
215,375532,WO,Waste Oil,2021
215,273652,LIG,Lignite Coal,2021
215,106468,DFO,Distillate Fuel Oil,2021
215,102061,WND,Wind,2021
215,92790,WC,Waste Coal,2021
215,38071,LFG,Landfill Gas,2021
215,672,JF,Jet Fuel,2021
215,-3433,MWH,Electricity used for Energy Storage,2021
216,58733,WAT,Water at Hydroelectric Turbine,2021
216,25547,WO,Waste Oil,2021
216,12132,DFO,Distillate Fuel Oil,2021
217,279424,WAT,Water at Hydroelectric Turbine,2021
217,1278,DFO,Distillate Fuel Oil,2021
218,0,JF,Jet Fuel,2021
219,119388,WAT,Water at Hydroelectric Turbine,2021
219,-795,DFO,Distillate Fuel Oil,2021
221,47330,NG,Natural Gas,2021
221,1,DFO,Distillate Fuel Oil,2021
222,433223,WAT,Water at Hydroelectric Turbine,2021
222,-1318,DFO,Distillate Fuel Oil,2021
223,132333,WAT,Water at Hydroelectric Turbine,2021
223,25238,WND,Wind,2021
223,4,DFO,Distillate Fuel Oil,2021
223,-537,MWH,Electricity used for Energy Storage,2021
224,49320,NG,Natural Gas,2021
225,17557,WAT,Water at Hydroelectric Turbine,2021
225,760,DFO,Distillate Fuel Oil,2021
