community_fips_code,name,estimated_per_capita_income,margin_error_per_capita_income,estimated_population_below_poverty,margin_error_population_below_poverty,estimated_population_poverty_determined,margin_error_popuation_poverty_determined,start_year,end_year
0200065,Adak,31242,9803,,,,,2007,2011
0200065,Adak,30085,7973,11,14,127,54,2008,2012
0200065,Adak,34871,10795,17,18,108,42,2009,2013
0200065,Adak,28112,8695,30,20,114,37,2010,2014
0200065,Adak,22983,6061,48,28,122,38,2011,2015
0200065,Adak,24629,8367,45,35,122,44,2012,2016
0200065,Adak,21055,9770,52,43,130,49,2013,2017
0200065,Adak,28529,9485,54,37,203,53,2014,2018
0200065,Adak,35193,9688,37,22,226,68,2015,2019
0200065,Adak,31451,10224,61,42,188,64,2016,2020
0200065,Adak,56146,13869,20,17,190,68,2017,2021
0200065,Adak,57458,14111,21,15,248,84,2018,2022
0200065,Adak,51494,15784,15,27,141,59,2019,2023
0200650,Akhiok,7890,2758,,,,,2007,2011
0200650,Akhiok,9044,2609,31,23,151,92,2008,2012
0200650,Akhiok,8012,2501,41,28,167,107,2009,2013
0200650,Akhiok,12952,7155,32,24,103,49,2010,2014
0200650,Akhiok,10237,5899,34,24,84,44,2011,2015
0200650,Akhiok,8428,4009,22,21,74,37,2012,2016
0200650,Akhiok,9766,3995,11,9,53,24,2013,2017
0200650,Akhiok,11221,5000,6,10,57,31,2014,2018
0200650,Akhiok,17541,9096,7,10,59,39,2015,2019
0200650,Akhiok,11623,5294,7,10,164,70,2016,2020
0200650,Akhiok,15139,8349,10,12,114,60,2017,2021
0200650,Akhiok,13593,8800,4,5,98,64,2018,2022
0200650,Akhiok,19578,12741,6,8,117,72,2019,2023
0200760,Akiachak,13074,2444,,,,,2007,2011
0200760,Akiachak,13224,1976,154,56,638,103,2008,2012
0200760,Akiachak,13859,1882,145,51,606,81,2009,2013
0200760,Akiachak,14076,2341,138,38,586,75,2010,2014
0200760,Akiachak,11505,2197,146,32,559,51,2011,2015
0200760,Akiachak,12245,1700,174,34,581,53,2012,2016
0200760,Akiachak,11095,1747,209,43,602,67,2013,2017
0200760,Akiachak,11568,1506,206,42,560,61,2014,2018
0200760,Akiachak,11068,1444,209,49,567,65,2015,2019
0200760,Akiachak,11003,1743,179,53,455,72,2016,2020
0200760,Akiachak,10268,1607,178,71,462,99,2017,2021
0200760,Akiachak,11245,2314,158,72,415,98,2018,2022
0200760,Akiachak,10690,1919,262,98,629,132,2019,2023
0200870,Akiak,13469,3171,,,,,2007,2011
0200870,Akiak,12501,2494,101,54,364,68,2008,2012
0200870,Akiak,11608,1892,113,50,392,65,2009,2013
0200870,Akiak,11690,1962,92,45,407,50,2010,2014
0200870,Akiak,11188,1587,125,40,399,51,2011,2015
0200870,Akiak,9937,1473,158,43,407,53,2012,2016
0200870,Akiak,10510,2084,139,39,397,69,2013,2017
0200870,Akiak,10359,1555,137,39,416,53,2014,2018
0200870,Akiak,11852,2351,131,43,381,59,2015,2019
0200870,Akiak,11997,3004,91,42,298,67,2016,2020
0200870,Akiak,12546,3362,82,54,293,80,2017,2021
0200870,Akiak,15638,2919,74,49,298,87,2018,2022
