year,month,value,units,process,process_name,series,series_description
2025,9,,MMCF,FGC,Withdrawals from Coalbed Wells,NGM_EPG0_FGC_SAK_MMCF,Alaska Natural Gas Gross Withdrawals from Coalbed Wells (MMcf)
2025,9,,MMCF,FGG,Withdrawals from Gas Wells,N9011AK2,Alaska Natural Gas Gross Withdrawals from Gas Wells (MMcf)
2025,9,,MMCF,FGO,Withdrawals from Oil Wells,N9012AK2,Alaska Natural Gas Gross Withdrawals from Oil Wells (MMcf)
2025,8,8688,MMCF/D,FGW,Gross Withdrawals,NGM_EPG0_FGW_SAK_MMCFD,Alaska Natural Gas Gross Withdrawals (Million Cubic Feet per Day)
2025,8,269326,MMCF,FGW,Gross Withdrawals,N9010AK2,Alaska Natural Gas Gross Withdrawals (MMcf)
2025,8,28593,MMCF,VGM,Marketed Production,N9050AK2,Alaska Natural Gas Marketed Production (MMcf)
2025,8,,MMCF,VRN,Removed from Natural Gas,N9030AK2,Alaska Nonhydrocarbon Gases Removed from Natural Gas (MMcf)
2025,8,,MMCF,VGQ,Repressuring,N9020AK2,Alaska Natural Gas Repressuring (MMcf)
2025,8,,MMCF,VGV,Vented and Flared,N9040AK2,Alaska Natural Gas Vented and Flared (MMcf)
2025,8,,MMCF,FGC,Withdrawals from Coalbed Wells,NGM_EPG0_FGC_SAK_MMCF,Alaska Natural Gas Gross Withdrawals from Coalbed Wells (MMcf)
2025,8,,MMCF,FGG,Withdrawals from Gas Wells,N9011AK2,Alaska Natural Gas Gross Withdrawals from Gas Wells (MMcf)
2025,8,,MMCF,FGO,Withdrawals from Oil Wells,N9012AK2,Alaska Natural Gas Gross Withdrawals from Oil Wells (MMcf)
2025,7,245522,MMCF,FGW,Gross Withdrawals,N9010AK2,Alaska Natural Gas Gross Withdrawals (MMcf)
2025,7,7920,MMCF/D,FGW,Gross Withdrawals,NGM_EPG0_FGW_SAK_MMCFD,Alaska Natural Gas Gross Withdrawals (Million Cubic Feet per Day)
2025,7,26261,MMCF,VGM,Marketed Production,N9050AK2,Alaska Natural Gas Marketed Production (MMcf)
2025,7,,MMCF,VRN,Removed from Natural Gas,N9030AK2,Alaska Nonhydrocarbon Gases Removed from Natural Gas (MMcf)
2025,7,,MMCF,VGQ,Repressuring,N9020AK2,Alaska Natural Gas Repressuring (MMcf)
2025,7,,MMCF,VGV,Vented and Flared,N9040AK2,Alaska Natural Gas Vented and Flared (MMcf)
2025,7,,MMCF,FGC,Withdrawals from Coalbed Wells,NGM_EPG0_FGC_SAK_MMCF,Alaska Natural Gas Gross Withdrawals from Coalbed Wells (MMcf)
2025,7,,MMCF,FGG,Withdrawals from Gas Wells,N9011AK2,Alaska Natural Gas Gross Withdrawals from Gas Wells (MMcf)
2025,7,,MMCF,FGO,Withdrawals from Oil Wells,N9012AK2,Alaska Natural Gas Gross Withdrawals from Oil Wells (MMcf)
2025,6,278398,MMCF,FGW,Gross Withdrawals,N9010AK2,Alaska Natural Gas Gross Withdrawals (MMcf)
2025,6,9280,MMCF/D,FGW,Gross Withdrawals,NGM_EPG0_FGW_SAK_MMCFD,Alaska Natural Gas Gross Withdrawals (Million Cubic Feet per Day)
2025,6,29501,MMCF,VGM,Marketed Production,N9050AK2,Alaska Natural Gas Marketed Production (MMcf)
2025,6,,MMCF,VRN,Removed from Natural Gas,N9030AK2,Alaska Nonhydrocarbon Gases Removed from Natural Gas (MMcf)
2025,6,,MMCF,VGQ,Repressuring,N9020AK2,Alaska Natural Gas Repressuring (MMcf)
2025,6,,MMCF,VGV,Vented and Flared,N9040AK2,Alaska Natural Gas Vented and Flared (MMcf)
2025,6,,MMCF,FGC,Withdrawals from Coalbed Wells,NGM_EPG0_FGC_SAK_MMCF,Alaska Natural Gas Gross Withdrawals from Coalbed Wells (MMcf)
2025,6,,MMCF,FGG,Withdrawals from Gas Wells,N9011AK2,Alaska Natural Gas Gross Withdrawals from Gas Wells (MMcf)
2025,6,,MMCF,FGO,Withdrawals from Oil Wells,N9012AK2,Alaska Natural Gas Gross Withdrawals from Oil Wells (MMcf)
2025,5,9910,MMCF/D,FGW,Gross Withdrawals,NGM_EPG0_FGW_SAK_MMCFD,Alaska Natural Gas Gross Withdrawals (Million Cubic Feet per Day)
2025,5,307205,MMCF,FGW,Gross Withdrawals,N9010AK2,Alaska Natural Gas Gross Withdrawals (MMcf)
2025,5,31676,MMCF,VGM,Marketed Production,N9050AK2,Alaska Natural Gas Marketed Production (MMcf)
2025,5,,MMCF,VRN,Removed from Natural Gas,N9030AK2,Alaska Nonhydrocarbon Gases Removed from Natural Gas (MMcf)
2025,5,,MMCF,VGQ,Repressuring,N9020AK2,Alaska Natural Gas Repressuring (MMcf)
2025,5,,MMCF,VGV,Vented and Flared,N9040AK2,Alaska Natural Gas Vented and Flared (MMcf)
2025,5,,MMCF,FGC,Withdrawals from Coalbed Wells,NGM_EPG0_FGC_SAK_MMCF,Alaska Natural Gas Gross Withdrawals from Coalbed Wells (MMcf)
2025,5,,MMCF,FGG,Withdrawals from Gas Wells,N9011AK2,Alaska Natural Gas Gross Withdrawals from Gas Wells (MMcf)
2025,5,,MMCF,FGO,Withdrawals from Oil Wells,N9012AK2,Alaska Natural Gas Gross Withdrawals from Oil Wells (MMcf)
2025,4,10047,MMCF/D,FGW,Gross Withdrawals,NGM_EPG0_FGW_SAK_MMCFD,Alaska Natural Gas Gross Withdrawals (Million Cubic Feet per Day)
2025,4,301410,MMCF,FGW,Gross Withdrawals,N9010AK2,Alaska Natural Gas Gross Withdrawals (MMcf)
2025,4,30497,MMCF,VGM,Marketed Production,N9050AK2,Alaska Natural Gas Marketed Production (MMcf)
2025,4,,MMCF,VRN,Removed from Natural Gas,N9030AK2,Alaska Nonhydrocarbon Gases Removed from Natural Gas (MMcf)
2025,4,,MMCF,VGQ,Repressuring,N9020AK2,Alaska Natural Gas Repressuring (MMcf)
2025,4,,MMCF,VGV,Vented and Flared,N9040AK2,Alaska Natural Gas Vented and Flared (MMcf)
2025,4,,MMCF,FGC,Withdrawals from Coalbed Wells,NGM_EPG0_FGC_SAK_MMCF,Alaska Natural Gas Gross Withdrawals from Coalbed Wells (MMcf)
2025,4,,MMCF,FGG,Withdrawals from Gas Wells,N9011AK2,Alaska Natural Gas Gross Withdrawals from Gas Wells (MMcf)
2025,4,,MMCF,FGO,Withdrawals from Oil Wells,N9012AK2,Alaska Natural Gas Gross Withdrawals from Oil Wells (MMcf)
2025,3,10443,MMCF/D,FGW,Gross Withdrawals,NGM_EPG0_FGW_SAK_MMCFD,Alaska Natural Gas Gross Withdrawals (Million Cubic Feet per Day)
2025,3,323743,MMCF,FGW,Gross Withdrawals,N9010AK2,Alaska Natural Gas Gross Withdrawals (MMcf)
2025,3,32907,MMCF,VGM,Marketed Production,N9050AK2,Alaska Natural Gas Marketed Production (MMcf)
2025,3,,MMCF,VRN,Removed from Natural Gas,N9030AK2,Alaska Nonhydrocarbon Gases Removed from Natural Gas (MMcf)
2025,3,,MMCF,VGQ,Repressuring,N9020AK2,Alaska Natural Gas Repressuring (MMcf)
2025,3,,MMCF,VGV,Vented and Flared,N9040AK2,Alaska Natural Gas Vented and Flared (MMcf)
