fips_code,name,start_year,end_year,estimated_pop_age_total,estimated_pop_age_under_5,estimated_pop_age_5_9,estimated_pop_age_10_14,estimated_pop_age_15_19,estimated_pop_age_20_24,estimated_pop_age_25_34,estimated_pop_age_35_44,estimated_pop_age_45_54,estimated_pop_age_55_59,estimated_pop_age_60_64,estimated_pop_age_65_74,estimated_pop_age_75_84,estimated_pop_age_85_plus,estimated_pop_age_median_age,estimated_pop_age_under_18,estimated_pop_age_18_plus,estimated_pop_age_21_plus,estimated_pop_age_62_plus,estimated_pop_age_65_plus,estimated_pop_total,estimated_pop_male,estimated_pop_female
0200650,Akhiok,2020,2024,160,10,7,2,1,3,65,18,10,34,7,0,0,3,29,20,140,140,5,3,160,93,67
0200760,Akiachak,2020,2024,736,115,108,80,34,45,106,77,49,24,13,70,15,0,24.3,331,405,394,94,85,736,369,367
0201090,Akutan,2020,2024,694,9,6,12,3,48,143,178,162,37,54,40,2,0,41.6,29,665,664,51,42,694,509,185
0201200,Alakanuk,2020,2024,864,119,75,106,107,52,137,94,59,53,21,31,10,0,21.6,373,491,442,46,41,864,490,374
0201305,Alatna,2020,2024,11,0,0,0,1,0,0,8,0,0,0,1,1,0,43.6,0,11,10,2,2,11,2,9
0201390,Alcan Border,2020,2024,3,0,0,0,0,0,1,0,0,2,0,0,0,0,,0,3,3,0,0,3,3,0
0201420,Aleknagik,2020,2024,92,0,2,7,0,7,11,12,1,16,9,22,3,2,56.5,9,83,82,36,27,92,49,43
0201560,Aleneva,2020,2024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
0201970,Ambler,2020,2024,182,21,26,9,2,9,34,13,14,4,11,21,12,6,33.3,58,124,118,49,39,182,93,89
0202080,Anaktuvuk Pass,2020,2024,329,25,27,46,34,15,61,34,24,14,31,15,3,0,27.2,116,213,194,43,18,329,206,123
0203000,Anchorage,2020,2024,288976,18335,19834,18656,18024,21263,47629,42390,32785,15625,17252,24263,10137,2783,35.2,67997,220979,209750,47015,37183,288976,147639,141337
0203110,Anchor Point,2020,2024,2243,44,129,108,125,69,149,322,361,152,190,396,144,54,50.6,377,1866,1826,706,594,2243,1231,1012
0203220,Anderson,2020,2024,140,7,15,10,19,13,7,22,11,7,11,17,1,0,34.8,41,99,88,26,18,140,73,67
0203880,Anvik,2020,2024,79,7,10,8,5,7,4,11,8,4,2,4,9,0,34.5,28,51,48,15,13,79,41,38
0204430,Atmautluak,2020,2024,88,7,6,10,12,12,9,19,9,0,0,0,4,0,23.4,29,59,49,4,4,88,36,52
0204500,Atqasuk,2020,2024,288,22,32,38,20,25,55,50,20,12,4,10,0,0,27.3,101,187,172,10,10,288,161,127
0205000,Badger,2020,2024,18677,1032,1074,1576,1169,1312,3115,2889,1820,1522,905,1289,788,186,35.1,4430,14247,13430,2859,2263,18677,10708,7969
0205585,Bear Creek,2020,2024,1732,68,48,216,88,49,129,165,276,213,312,168,0,0,49.7,420,1312,1263,440,168,1732,909,823
0206245,Beluga,2020,2024,4,0,0,0,0,0,3,0,0,0,0,0,1,0,,0,4,4,1,1,4,4,0
0206520,Bethel,2020,2024,6312,493,555,474,464,478,965,883,727,465,353,354,52,49,32.4,1827,4485,4257,665,455,6312,3521,2791
0206630,Bettles,2020,2024,16,1,2,0,1,0,0,12,0,0,0,0,0,0,36.8,4,12,12,0,0,16,7,9
0206850,Big Delta,2020,2024,565,27,26,81,78,37,51,27,65,48,25,100,0,0,30,199,366,353,125,100,565,346,219
0207070,Big Lake,2020,2024,3585,220,238,233,177,109,599,504,302,287,356,402,144,14,38.8,813,2772,2684,747,560,3585,1823,1762
0207620,Birch Creek,2020,2024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
0208740,Brevig Mission,2020,2024,718,97,91,101,33,51,119,74,30,44,27,40,11,0,22.2,313,405,388,60,51,718,341,377
